LS-DYNA keyword deck by LS-PrePost                                      ,Z-Rigid Body Acceleration
Time,A2,
    0.0000000000e+00,   -9.6230292969e+03,
    9.9969736766e-04,   -9.4120332031e+03,
    1.9993935712e-03,   -9.3680859375e+03,
    2.9998181853e-03,   -9.3734570312e+03,
    3.9995145053e-03,   -9.3905439453e+03,
    4.9999393523e-03,   -9.3671093750e+03,
    5.9996354394e-03,   -9.3656367188e+03,
    6.9993319921e-03,   -9.3944736328e+03,
    7.9997517169e-03,   -1.1230933594e+04,
    8.9994231239e-03,    8.9957353516e+03,
    9.9993972108e-03,    8.1964554688e+04,
    1.0999620892e-02,    1.4686428125e+05,
    1.1999902315e-02,    1.4373732812e+05,
    1.2999729253e-02,    1.1597769531e+05,
    1.3999756426e-02,    9.7454765625e+04,
    1.4999966137e-02,    1.1085697656e+05,
    1.5999834985e-02,    1.3215582812e+05,
    1.6999477521e-02,    1.2628628125e+05,
    1.7999446020e-02,    1.1145851562e+05,
    1.8999481574e-02,    1.1041210156e+05,
    1.9999459386e-02,    1.2564714062e+05,
    2.0999416709e-02,    1.3960871875e+05,
    2.1999321878e-02,    1.4358217188e+05,
    2.2999526933e-02,    1.3755565625e+05,
    2.3999921978e-02,    1.2552476562e+05,
    2.4999618530e-02,    1.0967123438e+05,
    2.5999613106e-02,    1.0535732031e+05,
    2.6999954134e-02,    1.1947630469e+05,
    2.7999993414e-02,    1.4083348438e+05,
    2.8999600559e-02,    1.4692370312e+05,
    2.9999991879e-02,    1.4537979688e+05,
    3.0999490991e-02,    1.5888717188e+05,
    3.1999703497e-02,    1.8253120312e+05,
    3.2999705523e-02,    2.0506098438e+05,
    3.3999908715e-02,    2.1256037500e+05,
    3.4999631345e-02,    2.0272256250e+05,
    3.5999849439e-02,    1.8964829688e+05,
    3.6999426782e-02,    1.8133325000e+05,
    3.7999868393e-02,    1.6593657812e+05,
    3.8999870420e-02,    1.3409531250e+05,
    3.9999462664e-02,    9.5902890625e+04,
