Nodal History,Z-acceleration
Time,A8874,
    0.0000000000e+00,   -9.8100000000e+04,
    9.9969585426e-04,   -9.8100000000e+04,
    1.9993919414e-03,   -9.8100000000e+04,
    2.9998163227e-03,   -9.8100000000e+04,
    3.9995126426e-03,   -9.8100000000e+04,
    4.9999370240e-03,   -9.8100000000e+04,
    5.9996335767e-03,   -9.8100000000e+04,
    6.9993296638e-03,   -9.8100000000e+04,
    7.9996250570e-03,    4.6216850000e+05,
    8.9999902993e-03,   -1.8742038750e+06,
    9.9995676428e-03,   -5.2032343750e+05,
    1.0999901220e-02,   -9.4068412500e+05,
    1.1999499984e-02,    1.0222096250e+06,
    1.2999906205e-02,   -1.3506912500e+06,
    1.3999529183e-02,    4.2164831250e+05,
    1.4999585226e-02,    1.7896487500e+05,
    1.5999702737e-02,   -2.8656603125e+05,
    1.6999714077e-02,   -3.0807506250e+05,
    1.7999883741e-02,    1.5470450000e+06,
    1.8999727443e-02,   -2.2905848438e+05,
    1.9999882206e-02,   -2.2074534375e+05,
    2.0999472588e-02,   -2.8239281250e+05,
    2.1999347955e-02,   -1.7749065625e+05,
    2.2999463603e-02,   -3.0249876953e+04,
    2.3999635130e-02,   -3.7419394531e+04,
    2.4999562651e-02,    2.2058484375e+04,
    2.5999616832e-02,   -1.1433613281e+05,
    2.6999689639e-02,   -1.3496554688e+05,
    2.7999831364e-02,   -1.2388364062e+05,
    2.8999840841e-02,    2.3962240234e+04,
    2.9999662191e-02,    5.8387475000e+05,
    3.0999375507e-02,   -1.8577279688e+05,
    3.1999573112e-02,    3.9649503125e+05,
    3.2999441028e-02,    7.3161118750e+05,
    3.3999729902e-02,    3.5541084375e+05,
    3.4999608994e-02,    7.0108725000e+05,
    3.5999469459e-02,    3.1767500000e+05,
    3.6999702454e-02,    2.3050945312e+04,
    3.7999629974e-02,   -5.2413695312e+04,
    3.8999870420e-02,   -1.4292335938e+05,
    3.9999797940e-02,   -2.6137171875e+05,
    4.0999911726e-02,   -2.7494903125e+05,
    4.1999444366e-02,   -4.9188406250e+05,
    4.2999748141e-02,   -3.8460659375e+05,
    4.3999470770e-02,    1.5089548828e+04,
    4.4999759644e-02,   -2.6905565625e+05,
    4.5999877155e-02,    7.0165812500e+04,
    4.6999514103e-02,    4.9092678125e+05,
    4.7999680042e-02,    1.0586704102e+04,
    4.8999514431e-02,   -4.4528269531e+04,
    4.9999762326e-02,    6.3622368750e+05,
    5.0999779254e-02,    1.4437078750e+06,
    5.1999844611e-02,    1.7910221250e+06,
    5.2999369800e-02,    1.8976817188e+05,
    5.3999528289e-02,    9.1745418750e+05,
    5.4999675602e-02,    5.1837506250e+05,
    5.5999830365e-02,   -5.4843025000e+05,
    5.6999918073e-02,   -2.6790650000e+05,
    5.7999350131e-02,    3.2173693750e+05,
    5.8999367058e-02,    6.5613443750e+05,
    5.9999424964e-02,    1.6583603125e+05,
    6.0999501497e-02,   -2.0874279688e+05,
    6.1999570578e-02,    6.6427431250e+05,
    6.2999621034e-02,    9.7973868750e+05,
    6.3999645412e-02,   -4.5293056250e+05,
    6.4999654889e-02,    6.8962368750e+05,
    6.5999649465e-02,    5.4748631250e+05,
    6.6999658942e-02,    3.9001862500e+05,
    6.7999698222e-02,    5.3619787500e+05,
    6.8999759853e-02,    3.6325753125e+05,
    6.9999851286e-02,    4.3967950000e+05,
    7.0999950171e-02,    5.5666262500e+05,
    7.1999438107e-02,   -3.9798384375e+05,
    7.2999581695e-02,   -1.5051295898e+04,
    7.3999740183e-02,   -2.6241273438e+04,
    7.4999898672e-02,    1.1191327500e+06,
    7.5999438763e-02,    5.7668056250e+05,
    7.6999582350e-02,   -1.2731878750e+06,
    7.7999688685e-02,   -3.4787243750e+05,
    7.8999847174e-02,    2.2602872500e+06,
    7.9999394715e-02,   -1.4073107812e+05,
    8.0999545753e-02,   -5.2116387500e+05,
    8.1999681890e-02,   -9.4441500000e+05,
    8.2999795675e-02,   -1.1777475000e+05,
    8.3999931812e-02,    3.1486062500e+05,
    8.4999471903e-02,    3.2511218750e+05,
    8.5999645293e-02,   -4.2942339844e+04,
    8.6999803782e-02,    1.1795568750e+06,
    8.7999984622e-02,    1.0572568750e+05,
    8.8999532163e-02,   -8.3325212500e+05,
    8.9999727905e-02,   -1.3631965000e+06,
    9.0999931097e-02,   -1.6351778125e+05,
    9.1999530792e-02,   -1.8955293750e+05,
    9.2999748886e-02,   -3.2529459375e+05,
