Nodal History,Z-acceleration
Time,
0.00E+00,2.26E+03
1.00E-03,4.36E-01
2.00E-03,-1.28E+03
3.00E-03,-2.52E+02
4.00E-03,4.91E+03
5.00E-03,1.65E+04
6.00E-03,3.68E+04
7.00E-03,6.75E+04
8.00E-03,1.08E+05
9.00E-03,1.53E+05
1.00E-02,1.89E+05
1.10E-02,2.08E+05
1.20E-02,2.17E+05
1.30E-02,2.30E+05
1.40E-02,2.55E+05
1.50E-02,2.86E+05
1.60E-02,3.21E+05
1.70E-02,3.57E+05
1.80E-02,3.86E+05
1.90E-02,3.98E+05
2.00E-02,3.84E+05
2.10E-02,3.47E+05
2.20E-02,2.93E+05
2.30E-02,2.33E+05
2.40E-02,1.78E+05
2.50E-02,1.39E+05
2.60E-02,1.16E+05
2.70E-02,1.07E+05
2.80E-02,1.09E+05
2.90E-02,1.21E+05
3.00E-02,1.43E+05
3.10E-02,1.74E+05
3.20E-02,2.08E+05
3.30E-02,2.37E+05
3.40E-02,2.49E+05
3.50E-02,2.41E+05
3.60E-02,2.18E+05
3.70E-02,1.84E+05
3.80E-02,1.44E+05
3.90E-02,9.88E+04
4.00E-02,4.90E+04
4.10E-02,-4.00E+03
4.20E-02,-5.45E+04
4.30E-02,-9.56E+04
4.40E-02,-1.21E+05
4.50E-02,-1.28E+05
4.60E-02,-1.17E+05
4.70E-02,-9.01E+04
4.80E-02,-5.19E+04
4.90E-02,-5.79E+03
5.00E-02,4.51E+04
5.10E-02,9.91E+04
5.20E-02,1.55E+05
5.30E-02,2.07E+05
5.40E-02,2.50E+05
5.50E-02,2.75E+05
5.60E-02,2.76E+05
5.70E-02,2.52E+05
5.80E-02,2.07E+05
5.90E-02,1.51E+05
6.00E-02,9.50E+04
6.10E-02,4.67E+04
6.20E-02,1.01E+04
6.30E-02,-1.17E+04
6.40E-02,-1.60E+04
6.50E-02,-5.04E+02
6.60E-02,3.50E+04
6.70E-02,8.60E+04
6.80E-02,1.44E+05
6.90E-02,2.01E+05
7.00E-02,2.53E+05
7.10E-02,2.98E+05
7.20E-02,3.34E+05
7.30E-02,3.58E+05
7.40E-02,3.62E+05
7.50E-02,3.45E+05
7.60E-02,3.06E+05
7.70E-02,2.52E+05
7.80E-02,1.90E+05
7.90E-02,1.30E+05
8.00E-02,8.08E+04
8.10E-02,4.86E+04
8.20E-02,3.41E+04
8.30E-02,3.57E+04
8.40E-02,4.97E+04
8.50E-02,6.94E+04
8.60E-02,8.75E+04
8.70E-02,9.81E+04
8.80E-02,9.89E+04
8.90E-02,9.07E+04
9.00E-02,7.50E+04
9.10E-02,5.15E+04
9.20E-02,1.90E+04
9.30E-02,-2.23E+04
9.40E-02,-6.84E+04
9.50E-02,-1.12E+05
9.60E-02,-1.44E+05
9.70E-02,-1.54E+05
9.80E-02,-1.38E+05
9.90E-02,-1.00E+05
1.00E-01,-5.31E+04
1.01E-01,-5.52E+03
1.02E-01,3.66E+04
1.03E-01,7.01E+04
1.04E-01,9.34E+04
1.05E-01,1.05E+05
1.06E-01,1.03E+05
1.07E-01,8.67E+04
1.08E-01,6.03E+04
1.09E-01,2.91E+04
1.10E-01,3.26E+02
1.11E-01,-1.97E+04
1.12E-01,-2.93E+04
1.13E-01,-3.02E+04
1.14E-01,-2.43E+04
1.15E-01,-1.24E+04
1.16E-01,4.92E+03
1.17E-01,2.46E+04
1.18E-01,4.13E+04
1.19E-01,4.98E+04
1.20E-01,4.86E+04
1.21E-01,3.91E+04
1.22E-01,2.38E+04
1.23E-01,5.45E+03
1.24E-01,-1.26E+04
1.25E-01,-2.77E+04
1.26E-01,-3.89E+04
1.27E-01,-4.49E+04
1.28E-01,-4.44E+04
1.29E-01,-3.71E+04
1.30E-01,-2.33E+04
1.31E-01,-3.77E+03
1.32E-01,1.99E+04
1.33E-01,4.31E+04
1.34E-01,5.98E+04
1.35E-01,6.50E+04
1.36E-01,5.77E+04
1.37E-01,4.07E+04
1.38E-01,1.91E+04
1.39E-01,-2.96E+03
1.40E-01,-2.29E+04
1.41E-01,-3.90E+04
1.42E-01,-4.97E+04
1.43E-01,-5.39E+04
1.44E-01,-5.01E+04
1.45E-01,-3.71E+04
1.46E-01,-1.66E+04
1.47E-01,7.15E+03
1.48E-01,2.96E+04
1.49E-01,4.80E+04
1.50E-01,6.23E+04
1.50E-01,7.55E+04
