Time(s),Energy(J),ALLPD_Floor_struts/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_STRUTS-1/
0,0,
0.00500043,0,
0.0100007,0.01728,
0.0150012,0.547328,
0.0200014,1.32915,
0.0250013,1.34656,
0.0300014,1.35475,
0.0350013,1.3568,
0.0400013,1.3568,
0.045001,4.62438,
0.0500012,628.621,
0.0550012,2149.58,
0.0600008,3087.01,
0.0650005,4257.22,
0.0700002,5456.79,
0.0750013,5972.69,
0.080001,6320.82,
0.0850007,6673.14,
0.0900002,6928.99,
0.0950005,7071.6,
0.100001,7180.65,
0.105001,7226.79,
0.110001,7243.56,
0.115001,7247.76,
0.120001,7251.95,
0.125,7251.95,
0.130001,7251.95,
0.135001,7251.95,
0.140001,7251.95,
0.145,7251.95,
0.150001,7256.15,
0.155001,7256.15,
0.160001,7256.15,
0.165,7256.15,
0.17,7260.34,
0.175001,7260.34,
0.180001,7264.53,
0.185001,7264.53,
0.19,7268.73,
0.195001,7268.73,
0.200001,7268.73,
0.205001,7268.73,
0.21,7268.73,
0.215,7268.73,
0.220001,7268.73,
0.225001,7268.73,
0.230001,7268.73,
0.235,7268.73,
0.240001,7268.73,
0.245001,7272.92,
0.250001,7272.92,
0.255001,7272.92,
0.26,7272.92,
0.265001,7272.92,
0.270001,7272.92,
0.275,7272.92,
0.280001,7272.92,
0.285001,7272.92,
0.29,7272.92,
0.295001,7272.92,
0.3,7272.92,
