Time(s),Energy(J),ALLPD_Floor_long_beams/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_LONG_BEAMS-1/
0,0,
0.00500043,0,
0.0100007,0,
0.0150012,17.367,
0.0200014,18.9235,
0.0250013,78.0534,
0.0300014,79.102,
0.0350013,81.7889,
0.0400013,93.0611,
0.045001,93.0611,
0.0500012,92.9956,
0.0550012,93.3233,
0.0600008,271.319,
0.0650005,631.767,
0.0700002,718.275,
0.0750013,1046.48,
0.080001,1090.52,
0.0850007,1099.96,
0.0900002,1119.88,
0.0950005,1135.61,
0.100001,1146.09,
0.105001,1146.09,
0.110001,1146.09,
0.115001,1147.14,
0.120001,1149.24,
0.125,1157.63,
0.130001,1160.77,
0.135001,1162.87,
0.140001,1163.92,
0.145,1171.26,
0.150001,1172.31,
0.155001,1172.31,
0.160001,1173.36,
0.165,1174.41,
0.17,1174.41,
0.175001,1175.45,
0.180001,1175.45,
0.185001,1175.45,
0.19,1175.45,
0.195001,1175.45,
0.200001,1175.45,
0.205001,1175.45,
0.21,1175.45,
0.215,1175.45,
0.220001,1177.55,
0.225001,1177.55,
0.230001,1177.55,
0.235,1177.55,
0.240001,1177.55,
0.245001,1177.55,
0.250001,1177.55,
0.255001,1178.6,
0.26,1178.6,
0.265001,1178.6,
0.270001,1178.6,
0.275,1178.6,
0.280001,1181.75,
0.285001,1181.75,
0.29,1181.75,
0.295001,1182.79,
0.3,1182.79,
