Time(s),Energy(J),ALLPD_Stiffeners/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_STIFFENERS-1/
0,0,
0.00500043,0,
0.0100007,3.09453,
0.0150012,8.97024,
0.0200014,9.78944,
0.0250013,10.068,
0.0300014,10.1007,
0.0350013,10.3875,
0.0400013,14.0247,
0.045001,104.268,
0.0500012,153.092,
0.0550012,158.99,
0.0600008,170.525,
0.0650005,317.719,
0.0700002,496.763,
0.0750013,565.707,
0.080001,622.33,
0.0850007,673.71,
0.0900002,684.196,
0.0950005,698.352,
0.100001,720.372,
0.105001,732.955,
0.110001,735.576,
0.115001,736.1,
0.120001,736.1,
0.125,737.673,
0.130001,737.673,
0.135001,738.198,
0.140001,738.198,
0.145,738.722,
0.150001,739.246,
0.155001,739.246,
0.160001,739.246,
0.165,739.246,
0.17,739.246,
0.175001,739.246,
0.180001,739.246,
0.185001,739.77,
0.19,739.77,
0.195001,739.77,
0.200001,739.77,
0.205001,739.77,
0.21,739.77,
0.215,739.77,
0.220001,739.77,
0.225001,739.77,
0.230001,739.77,
0.235,739.77,
0.240001,739.77,
0.245001,739.77,
0.250001,739.77,
0.255001,739.77,
0.26,739.77,
0.265001,739.77,
0.270001,739.77,
0.275,739.77,
0.280001,739.77,
0.285001,739.77,
0.29,739.77,
0.295001,739.77,
0.3,739.77,
