Time(s),Acceleration(m_s2),1_AT3_Floor/A/MeshedPart-PART-1-1 at Node 27292
0,10.3553,
0.00100038,9.09582,
0.00200076,10.5857,
0.00300121,9.91266,
0.00400014,9.23953,
0.00500043,106.871,
0.00600064,159.799,
0.00700042,441.815,
0.00800017,245.631,
0.00900046,744.086,
0.0100007,390.85,
0.0110007,377.989,
0.0120009,338.819,
0.0130012,179.598,
0.0140004,151.223,
0.0150012,339.187,
0.0160003,424.353,
0.0170002,154.735,
0.0180002,186.631,
0.0190002,379.018,
0.0200014,77.2538,
0.0210003,447.18,
0.0220008,446.051,
0.0230011,380.496,
0.0240004,303.705,
0.0250013,129.693,
0.0260002,404.669,
0.0270005,285.978,
0.0280008,41.473,
0.0290011,122.081,
0.0300014,286.636,
0.0310002,196.65,
0.0320004,296.283,
0.0330007,224.804,
0.034001,177.753,
0.0350013,266.118,
0.0360001,180.913,
0.0370004,173.871,
0.0380007,103.934,
0.039001,199.24,
0.0400013,120.785,
0.0410001,296.816,
0.0420004,368.607,
0.0430007,241.438,
0.0440001,278.78,
0.045001,409.394,
0.0460009,182.569,
0.0470004,444.304,
0.0480003,255.43,
0.049,279.967,
0.0500012,318.497,
0.0510008,325.224,
0.0520002,362.055,
0.053001,632.883,
0.0540003,390.672,
0.0550012,489.435,
0.0560005,327.965,
0.0570013,208.342,
0.0580007,149.069,
0.0590015,317.946,
0.0600008,334.251,
0.0610002,844.775,
0.062001,648.339,
0.0630003,544.734,
0.0640012,693.428,
0.0650005,347.705,
0.0660013,960.593,
0.0670007,431.858,
0.0680015,722.41,
0.0690008,792.824,
0.0700002,1085.76,
0.071001,720.593,
0.0720003,1023.27,
0.0730012,266.876,
0.0740005,354.935,
0.0750013,646.189,
0.0760007,409.972,
0.0770015,716.599,
0.0780008,718.719,
0.0790002,1020.67,
0.080001,354.993,
0.0810003,477.693,
0.0820012,945.778,
0.0830005,170.113,
0.0840013,633.036,
0.0850007,752.502,
0.0860015,258.164,
0.0870012,342.85,
0.0880013,831.511,
0.0890005,204.5,
0.0900002,1740.7,
0.0910015,675.167,
0.0920012,452.233,
0.093001,291.571,
