Time(s),Energy(J),ALLKE_Global/ALLKE
0,50326.5,
0.00500043,50233.9,
0.0100007,47719.6,
0.0150012,44801,
0.0200014,43114,
0.0250013,41190.5,
0.0300014,39811.5,
0.0350013,38323.1,
0.0400013,36928.3,
0.045001,34472.7,
0.0500012,31127.4,
0.0550012,29228.8,
0.0600008,26231.5,
0.0650005,21320.7,
0.0700002,15504.8,
0.0750013,11306.1,
0.080001,8244.51,
0.0850007,5451.27,
0.0900002,3483.29,
0.0950005,1945.03,
0.100001,1331.44,
0.105001,1200.1,
0.110001,1648.22,
0.115001,2037.65,
0.120001,2668.17,
0.125,3021.63,
0.130001,3290.39,
0.135001,3282.85,
0.140001,3333.59,
0.145,3204.2,
0.150001,3274.47,
0.155001,3107.32,
0.160001,3009.28,
0.165,2865.03,
0.17,2849.16,
0.175001,2629.95,
0.180001,2374.2,
0.185001,2317.8,
0.19,2227.15,
0.195001,2197.39,
0.200001,1961.72,
0.205001,2027.44,
0.21,1918.58,
0.215,1886.41,
0.220001,1687.05,
0.225001,1680.64,
0.230001,1622.75,
0.235,1481.95,
0.240001,1256.05,
0.245001,1172.83,
0.250001,1199.39,
0.255001,1106.99,
0.26,1094.84,
0.265001,1077.88,
0.270001,1101.47,
0.275,1067.32,
0.280001,929.025,
0.285001,852.911,
0.29,773.014,
0.295001,736.44,
0.3,626.805,
