Time(s),Energy(J),ALLPD_Floor_beams/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_BEAMS-1/
0,0,
0.00500043,0,
0.0100007,0,
0.0150012,3.7335,
0.0200014,5.67706,
0.0250013,88.2115,
0.0300014,244.449,
0.0350013,246.546,
0.0400013,256.115,
0.045001,256.246,
0.0500012,256.901,
0.0550012,260.047,
0.0600008,381.944,
0.0650005,1204.81,
0.0700002,1923.09,
0.0750013,2631.93,
0.080001,2722.1,
0.0850007,2768.24,
0.0900002,2814.38,
0.0950005,2889.88,
0.100001,2921.33,
0.105001,2927.62,
0.110001,2936.01,
0.115001,2969.57,
0.120001,2988.44,
0.125,3024.09,
0.130001,3061.84,
0.135001,3103.78,
0.140001,3154.12,
0.145,3179.28,
0.150001,3185.57,
0.155001,3210.74,
0.160001,3238,
0.165,3248.49,
0.17,3252.68,
0.175001,3256.88,
0.180001,3263.17,
0.185001,3267.36,
0.19,3267.36,
0.195001,3267.36,
0.200001,3269.46,
0.205001,3271.56,
0.21,3271.56,
0.215,3271.56,
0.220001,3275.75,
0.225001,3275.75,
0.230001,3275.75,
0.235,3275.75,
0.240001,3282.04,
0.245001,3288.33,
0.250001,3288.33,
0.255001,3288.33,
0.26,3294.63,
0.265001,3298.82,
0.270001,3298.82,
0.275,3298.82,
0.280001,3298.82,
0.285001,3300.92,
0.29,3303.01,
0.295001,3303.01,
0.3,3305.11,
