Time(s),Energy(J),ALLPD_Frames/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FRAMES-1/
0,0,
0.00500043,1.78688,
0.0100007,316.67,
0.0150012,1485.83,
0.0200014,2713.71,
0.0250013,3852.47,
0.0300014,4685.04,
0.0350013,5460.98,
0.0400013,6505.37,
0.045001,8174.7,
0.0500012,9974.05,
0.0550012,10527.7,
0.0600008,11114.9,
0.0650005,11735.7,
0.0700002,13111.4,
0.0750013,14604.6,
0.080001,16198.4,
0.0850007,17330.9,
0.0900002,17884.5,
0.0950005,18387.8,
0.100001,18756.9,
0.105001,18975,
0.110001,19025.4,
0.115001,19042.1,
0.120001,19075.7,
0.125,19075.7,
0.130001,19092.5,
0.135001,19092.5,
0.140001,19109.2,
0.145,19109.2,
0.150001,19109.2,
0.155001,19126,
0.160001,19126,
0.165,19126,
0.17,19126,
0.175001,19126,
0.180001,19126,
0.185001,19142.8,
0.19,19142.8,
0.195001,19142.8,
0.200001,19142.8,
0.205001,19142.8,
0.21,19142.8,
0.215,19142.8,
0.220001,19142.8,
0.225001,19142.8,
0.230001,19142.8,
0.235,19142.8,
0.240001,19142.8,
0.245001,19142.8,
0.250001,19142.8,
0.255001,19142.8,
0.26,19142.8,
0.265001,19142.8,
0.270001,19142.8,
0.275,19142.8,
0.280001,19142.8,
0.285001,19142.8,
0.29,19142.8,
0.295001,19142.8,
0.3,19142.8,
