Time(s),Energy(J),ALLPD_Shear_clips/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_SHEAR_CLIPS-1/
0,0,
0.00500043,220.463,
0.0100007,1304.43,
0.0150012,2327.84,
0.0200014,2973.76,
0.0250013,3355.44,
0.0300014,3688.89,
0.0350013,4332.72,
0.0400013,5209.33,
0.045001,6262.1,
0.0500012,7109.35,
0.0550012,7398.75,
0.0600008,7751.07,
0.0650005,8740.93,
0.0700002,9974.05,
0.0750013,10905.2,
0.080001,12188.6,
0.0850007,13446.9,
0.0900002,14092.9,
0.0950005,14613,
0.100001,15107.9,
0.105001,15409.9,
0.110001,15510.5,
0.115001,15569.3,
0.120001,15611.2,
0.125,15695.1,
0.130001,15720.3,
0.135001,15779,
0.140001,15829.3,
0.145,15862.9,
0.150001,15896.4,
0.155001,15930,
0.160001,15930,
0.165,15938.4,
0.17,15938.4,
0.175001,15955.1,
0.180001,15963.5,
0.185001,15971.9,
0.19,15980.3,
0.195001,15980.3,
0.200001,15988.7,
0.205001,15988.7,
0.21,15997.1,
0.215,15997.1,
0.220001,16005.5,
0.225001,16005.5,
0.230001,16005.5,
0.235,16005.5,
0.240001,16013.9,
0.245001,16013.9,
0.250001,16013.9,
0.255001,16022.2,
0.26,16022.2,
0.265001,16022.2,
0.270001,16022.2,
0.275,16022.2,
0.280001,16022.2,
0.285001,16022.2,
0.29,16030.6,
0.295001,16030.6,
0.3,16030.6,
