Time(s),Energy(J),ALLPD_Skin/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_SKIN-1/
0,0,
0.00500043,0.184832,
0.0100007,15.2617,
0.0150012,124.191,
0.0200014,237.109,
0.0250013,307.233,
0.0300014,363.856,
0.0350013,423.625,
0.0400013,509.608,
0.045001,642.253,
0.0500012,764.412,
0.0550012,862.978,
0.0600008,1008.21,
0.0650005,1078.98,
0.0700002,1152.39,
0.0750013,1291.85,
0.080001,1417.67,
0.0850007,1533.02,
0.0900002,1579.16,
0.0950005,1612.71,
0.100001,1642.07,
0.105001,1661.99,
0.110001,1666.19,
0.115001,1666.19,
0.120001,1666.19,
0.125,1667.24,
0.130001,1667.24,
0.135001,1667.24,
0.140001,1667.24,
0.145,1667.24,
0.150001,1668.28,
0.155001,1670.38,
0.160001,1670.38,
0.165,1671.43,
0.17,1671.43,
0.175001,1671.43,
0.180001,1671.43,
0.185001,1671.43,
0.19,1671.43,
0.195001,1671.43,
0.200001,1671.43,
0.205001,1671.43,
0.21,1671.43,
0.215,1671.43,
0.220001,1671.43,
0.225001,1671.43,
0.230001,1671.43,
0.235,1671.43,
0.240001,1671.43,
0.245001,1671.43,
0.250001,1671.43,
0.255001,1671.43,
0.26,1671.43,
0.265001,1671.43,
0.270001,1671.43,
0.275,1671.43,
0.280001,1671.43,
0.285001,1671.43,
0.29,1671.43,
0.295001,1671.43,
0.3,1671.43,
