Time(s),Energy(J),ALLPD_Floor_long_beams/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_LONG_BEAMS-1/
0,0,
0.00500074,0,
0.0100001,0,
0.0150001,2.63782,
0.0200005,14.3933,
0.0250001,14.4589,
0.0300006,15.2044,
0.0350003,17.5964,
0.0400008,23.5438,
0.0450004,50.0367,
0.0500001,92.9956,
0.0550006,126.616,
0.0600003,140.247,
0.0650008,771.228,
0.0700004,920.65,
0.0750001,1024.98,
0.0800006,1118.83,
0.0850003,1173.36,
0.0900008,1220.54,
0.0950004,1236.27,
0.1,1238.37,
0.105001,1246.76,
0.11,1271.92,
0.115001,1313.87,
0.12,1361.05,
0.125,1376.78,
0.130001,1377.83,
0.135001,1378.88,
0.14,1382.02,
0.145,1384.12,
0.15,1390.41,
0.155001,1405.09,
0.160001,1410.33,
0.165,1411.38,
0.17,1411.38,
0.175,1411.38,
0.18,1412.43,
0.185001,1413.48,
0.190001,1419.77,
0.195,1437.6,
0.2,1437.6,
0.205,1437.6,
0.210001,1437.6,
0.215001,1438.65,
0.22,1438.65,
0.225,1439.69,
0.23,1439.69,
0.235001,1439.69,
0.240001,1440.74,
0.245,1440.74,
0.25,1441.79,
0.255001,1442.84,
0.26,1443.89,
0.265,1443.89,
0.270001,1443.89,
0.275,1444.94,
0.280001,1444.94,
0.285,1444.94,
0.29,1444.94,
0.295001,1445.99,
0.3,1447.03,
