Time(s),Energy(J),ALLPD_Floor_struts/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_STRUTS-1/
0,0,
0.00500074,0,
0.0100001,0.001861,
0.0150001,1.92205,
0.0200005,2.44941,
0.0250001,2.45146,
0.0300006,2.45965,
0.0350003,2.7136,
0.0400008,3.61882,
0.0450004,4.57523,
0.0500001,5.71392,
0.0550006,195.953,
0.0600003,2650.8,
0.0650008,4074.77,
0.0700004,5083.5,
0.0750001,5742,
0.0800006,6161.43,
0.0850003,6421.48,
0.0900008,6564.09,
0.0950004,6639.58,
0.1,6652.17,
0.105001,6656.36,
0.11,6660.55,
0.115001,6660.55,
0.12,6664.75,
0.125,6664.75,
0.130001,6668.94,
0.135001,6673.14,
0.14,6681.53,
0.145,6689.92,
0.15,6702.5,
0.155001,6715.08,
0.160001,6719.27,
0.165,6727.66,
0.17,6744.44,
0.175,6744.44,
0.18,6744.44,
0.185001,6744.44,
0.190001,6744.44,
0.195,6744.44,
0.2,6744.44,
0.205,6744.44,
0.210001,6744.44,
0.215001,6744.44,
0.22,6744.44,
0.225,6744.44,
0.23,6748.64,
0.235001,6757.02,
0.240001,6761.22,
0.245,6761.22,
0.25,6761.22,
0.255001,6761.22,
0.26,6761.22,
0.265,6761.22,
0.270001,6765.41,
0.275,6765.41,
0.280001,6765.41,
0.285,6765.41,
0.29,6765.41,
0.295001,6765.41,
0.3,6765.41,
