Time(s),Energy(J),ALLPD_Frames/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FRAMES-1/
0,0,
0.00500074,12.3126,
0.0100001,478.937,
0.0150001,1500.51,
0.0200005,2898.26,
0.0250001,4083.16,
0.0300006,4999.61,
0.0350003,5825.89,
0.0400008,6585.06,
0.0450004,8027.9,
0.0500001,10099.9,
0.0550006,12809.4,
0.0600003,14034.1,
0.0650008,15200.2,
0.0700004,16399.7,
0.0750001,18421.4,
0.0800006,20183,
0.0850003,21139.3,
0.0900008,21441.3,
0.0950004,21491.6,
0.1,21525.2,
0.105001,21541.9,
0.11,21541.9,
0.115001,21558.7,
0.12,21558.7,
0.125,21558.7,
0.130001,21575.5,
0.135001,21575.5,
0.14,21575.5,
0.145,21575.5,
0.15,21575.5,
0.155001,21575.5,
0.160001,21575.5,
0.165,21575.5,
0.17,21592.3,
0.175,21592.3,
0.18,21592.3,
0.185001,21592.3,
0.190001,21592.3,
0.195,21592.3,
0.2,21592.3,
0.205,21592.3,
0.210001,21592.3,
0.215001,21592.3,
0.22,21592.3,
0.225,21609.1,
0.23,21609.1,
0.235001,21609.1,
0.240001,21609.1,
0.245,21609.1,
0.25,21609.1,
0.255001,21609.1,
0.26,21609.1,
0.265,21609.1,
0.270001,21609.1,
0.275,21609.1,
0.280001,21609.1,
0.285,21609.1,
0.29,21609.1,
0.295001,21609.1,
0.3,21609.1,
