Time(s),Energy(J),ALLPD_Shear_clips/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_SHEAR_CLIPS-1/
0,0,
0.00500074,207.094,
0.0100001,958.923,
0.0150001,1738.54,
0.0200005,2329.94,
0.0250001,2812.28,
0.0300006,3277.85,
0.0350003,3674.21,
0.0400008,4324.33,
0.0450004,5293.21,
0.0500001,6362.76,
0.0550006,7470.06,
0.0600003,8132.76,
0.0650008,8866.76,
0.0700004,10049.6,
0.0750001,11366.6,
0.0800006,12683.6,
0.0850003,13841.2,
0.0900008,14252.2,
0.0950004,14327.7,
0.1,14394.9,
0.105001,14420,
0.11,14453.6,
0.115001,14495.5,
0.12,14537.5,
0.125,14587.8,
0.130001,14604.6,
0.135001,14613,
0.14,14621.3,
0.145,14629.7,
0.15,14638.1,
0.155001,14646.5,
0.160001,14654.9,
0.165,14663.3,
0.17,14680.1,
0.175,14680.1,
0.18,14696.8,
0.185001,14696.8,
0.190001,14705.2,
0.195,14713.6,
0.2,14713.6,
0.205,14713.6,
0.210001,14722,
0.215001,14722,
0.22,14738.8,
0.225,14738.8,
0.23,14738.8,
0.235001,14747.2,
0.240001,14747.2,
0.245,14747.2,
0.25,14755.6,
0.255001,14755.6,
0.26,14755.6,
0.265,14755.6,
0.270001,14764,
0.275,14764,
0.280001,14764,
0.285,14764,
0.29,14764,
0.295001,14764,
0.3,14772.3,
