Time(s),Energy(J),ALLPD_Skin/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_SKIN-1/
0,0,
0.00500074,0,
0.0100001,8.7081,
0.0150001,171.704,
0.0200005,225.182,
0.0250001,284.688,
0.0300006,374.079,
0.0350003,464.781,
0.0400008,551.027,
0.0450004,665.321,
0.0500001,821.559,
0.0550006,947.913,
0.0600003,1049.62,
0.0650008,1204.81,
0.0700004,1308.62,
0.0750001,1394.61,
0.0800006,1485.83,
0.0850003,1555.04,
0.0900008,1573.91,
0.0950004,1574.96,
0.1,1577.06,
0.105001,1577.06,
0.11,1577.06,
0.115001,1577.06,
0.12,1577.06,
0.125,1577.06,
0.130001,1577.06,
0.135001,1577.06,
0.14,1577.06,
0.145,1577.06,
0.15,1578.11,
0.155001,1578.11,
0.160001,1578.11,
0.165,1578.11,
0.17,1577.06,
0.175,1577.06,
0.18,1577.06,
0.185001,1577.06,
0.190001,1577.06,
0.195,1577.06,
0.2,1577.06,
0.205,1577.06,
0.210001,1577.06,
0.215001,1577.06,
0.22,1577.06,
0.225,1578.11,
0.23,1578.11,
0.235001,1578.11,
0.240001,1578.11,
0.245,1578.11,
0.25,1578.11,
0.255001,1578.11,
0.26,1578.11,
0.265,1578.11,
0.270001,1577.06,
0.275,1577.06,
0.280001,1577.06,
0.285,1577.06,
0.29,1578.11,
0.295001,1578.11,
0.3,1578.11,
