Time(s),Acceleration(m_s2),1_XY-Field A.1/A/C3/MeshedPart-PART-1-1 at Node 157686
0,-8.80593,
0.00100075,-9.9067,
0.00200062,-8.80595,
0.00300037,-9.90668,
0.00400011,-9.90665,
0.00500074,-116.686,
0.00600049,297.233,
0.00700023,-167.346,
0.00800076,391.977,
0.00900087,485.582,
0.0100001,47.346,
0.0110002,367.774,
0.0120003,323.723,
0.0130005,-123.843,
0.0140008,-133.196,
0.0150001,-107.872,
0.016,-315.877,
0.0170001,50.0657,
0.0180002,-35.7683,
0.0190003,-268.565,
0.0200005,122.165,
0.0210006,-225.65,
0.0220007,7.70601,
0.0230008,-391.922,
0.0240009,-194.879,
0.0250001,244.436,
0.0260002,-38.5396,
0.0270003,382.073,
0.0280004,-48.4518,
0.0290005,182.242,
0.0300006,219.105,
0.0310007,82.5842,
0.0320008,-91.3907,
0.0330001,97.9837,
0.0340002,114.496,
0.0350003,-352.833,
0.0360004,162.371,
0.0370005,-183.804,
0.0380006,209.13,
0.0390007,-521.177,
0.0400008,35.2198,
0.041,-107.302,
0.0420001,67.1374,
0.0430002,184.364,
0.0440003,-223.999,
0.0450004,-17.6105,
0.0460006,-16.5118,
0.0470007,-175.56,
0.0480008,12.1093,
0.0490009,-66.5942,
0.0500001,0.550345,
0.0510002,-4.95312,
0.0520003,97.9452,
0.0530004,-41.2762,
0.0540005,543.731,
0.0550006,307.658,
0.0560007,670.352,
0.0570008,-127.694,
0.0580001,-61.655,
0.0590002,140.391,
0.0600003,-66.0599,
0.0610004,175.088,
0.0620005,-376.027,
0.0630006,403.056,
0.0640007,55.0751,
0.0650008,-519.972,
0.066,768.714,
0.0670001,324.629,
0.0680002,-289.242,
0.0690003,770.46,
0.0700004,790.278,
0.0710006,255.891,
0.0720007,519.045,
0.0730008,244.922,
0.0740009,475.205,
0.0750001,-286.286,
0.0760002,513.801,
0.0770003,39.4335,
0.0780004,-394.287,
0.0790005,95.1106,
0.0800006,242.315,
0.0810007,-77.7301,
0.0820008,349.518,
0.0830001,289.925,
0.0840002,-416.483,
0.0850003,-256.329,
0.0860004,437.966,
0.0870005,-338.212,
0.0880006,1037.08,
0.0890007,418.754,
0.0900008,467.429,
0.091,116.882,
0.0920001,204.822,
0.0930002,167.228,
0.0940003,27.5889,
0.0950004,193.603,
0.0960006,-4.00679,
0.0970007,507.258,
0.0980008,-248.842,
0.0990009,-329.367,
0.1,210.035,
0.101,528.042,
0.102,-128.732,
0.103,24.4638,
0.104001,302.255,
0.105001,311.369,
0.106001,81.4623,
0.107001,525.262,
0.108,-24.2602,
0.109,489.859,
0.11,62.3048,
0.111,336.847,
0.112,-554.331,
0.113001,531.725,
0.114001,-534.45,
0.115001,-897.892,
0.116,-71.242,
0.117,274.748,
0.118,345.162,
0.119,-440.778,
0.12,490.887,
0.121001,-167.543,
0.122001,366.617,
0.123001,-45.4618,
0.124001,28.9324,
0.125,236.938,
0.126001,-38.0244,
0.127,166.991,
0.128001,-3.58225,
0.129,-431.567,
0.130001,-221.819,
0.131,119.722,
0.132,-288.078,
0.133001,-0.137776,
0.134,-32.654,
0.135001,-295.368,
0.136,379.987,
0.137001,-129.076,
0.138,398.441,
0.139001,-259.027,
0.14,99.3505,
0.141,240.041,
0.142001,-191.547,
0.143,226.122,
0.144001,-384.202,
0.145,28.9364,
0.146001,473.346,
0.147,-311.534,
0.148,225.708,
0.149001,-592.636,
0.15,222.663,
0.151001,73.1638,
0.152,-362.412,
0.153001,373.808,
0.154,13.3652,
0.155001,273.598,
0.156,-40.1628,
0.157,230.634,
0.158001,385.803,
0.159,156.81,
0.160001,-133.394,
0.161,147.856,
0.162001,-225.834,
0.163,-166.311,
0.164,-35.687,
0.165,-134.893,
0.166,174.58,
0.167001,62.9623,
0.168,57.732,
0.169001,-22.045,
0.17,258.489,
0.171001,-131.873,
0.172,338.453,
0.173,-212.214,
0.174001,194.304,
0.175,-98.1145,
0.176001,-83.7815,
0.177,-113.552,
0.178001,120.577,
0.179,93.0171,
0.180001,-231.791,
0.181,146.618,
0.182,-142.633,
0.183001,211.793,
0.184,-82.5372,
