Time(s),Acceleration(m_s2),1_AT3_Floor/AT/C3/MeshedPart-PART-1-1 at Node 161210
0,-9.31477,
0.00100059,-9.31477,
0.0020004,-10.4791,
0.00300008,-10.4791,
0.00400059,-10.4791,
0.00500027,-61.7131,
0.00600079,190.983,
0.00700047,-172.381,
0.00800003,351.742,
0.00900083,634.772,
0.0100008,111.244,
0.0110008,283.635,
0.0120007,124.048,
0.0130007,-9.89818,
0.0140004,-20.3765,
0.0150006,-114.091,
0.0160004,-216.52,
0.0170004,6.4016,
0.0180004,-146.085,
0.0190003,-454.538,
0.0200003,-28.5162,
0.0210002,-201.381,
0.0220002,-79.1706,
0.0230002,-238.69,
0.0240001,-107.129,
0.0250001,218.94,
0.026,-146.748,
0.027,313.302,
0.0280008,-47.7496,
0.0290008,529.96,
0.0300007,204.404,
0.0310007,18.6359,
0.0320006,-55.9016,
0.0330006,176.424,
0.0340006,-221.842,
0.0350005,227.649,
0.0360005,10.4792,
0.0370005,-78.5878,
0.0380004,228.193,
0.0390004,-8.73137,
0.0400003,-250.299,
0.0410003,60.5384,
0.0420003,-65.776,
0.0430002,184.509,
0.0440002,-162.398,
0.0450001,324.799,
0.0460001,-41.909,
0.0470001,38.4187,
0.048,55.8788,
0.0490008,-229.923,
0.0500008,147.83,
0.0510007,-368.984,
0.0520007,-214.737,
0.0530007,311.31,
0.0540006,-140.798,
0.0550006,212.342,
0.0560006,558.459,
0.0570005,136.124,
0.0580005,211.205,
0.0590004,-227.583,
0.0600004,130.972,
0.0610004,112.943,
0.0620003,-727.225,
0.0630008,135.708,
0.0640005,658.839,
0.0650005,775.46,
0.0660002,456.787,
0.0670007,1001.04,
0.0680004,-44.8656,
0.0690001,597.3,
0.0700006,152.68,
0.0710003,897.116,
0.072,438.53,
0.0730005,169.572,
0.0740002,104.308,
0.0750008,-189.088,
0.0760004,918.018,
0.0770001,246.915,
0.0780007,140.437,
0.0790003,328.326,
0.08,330.706,
0.0810006,-91.3288,
0.0820002,467.97,
0.0830008,-961.813,
0.0840007,306.122,
0.0850001,-27.2357,
0.0860002,451.184,
0.0870008,-359.116,
0.0880004,-259.366,
0.0890002,-260.834,
0.0900004,-159.459,
0.0910005,93.3452,
0.0920007,760.579,
0.0930001,419.212,
0.0940001,462.102,
0.0950003,523.594,
0.0960008,786.089,
0.0970005,180.891,
0.0980002,470.708,
0.0990005,329.857,
0.1,54.0262,
0.101001,-452.014,
0.102001,-335.252,
0.103,-99.4501,
0.104001,-245.723,
0.105001,-229.421,
0.106,515.221,
0.107,95.9531,
0.108,311.308,
0.109001,-330.703,
0.11,358.511,
0.111,468.482,
0.112,-11.9409,
0.113001,161.345,
0.114001,412.669,
0.115,-679.404,
0.116,-530.848,
0.117001,-615.999,
0.118001,-388.865,
0.119,-122.946,
0.12,-133.205,
0.121,-73.8728,
0.122001,-376.107,
0.123,-492.757,
0.124,488.892,
0.125,317.712,
0.126,-61.4286,
0.127001,-118.926,
0.128,73.6574,
0.129,395.516,
0.130001,-76.8612,
0.131,459.727,
0.132001,-428,
0.133,46.4434,
0.134,-1.45588,
0.135001,-599.119,
0.136,-588.567,
0.137,108.488,
0.138001,-85.0297,
0.139,545.495,
0.140001,-192.915,
0.141,-171.51,
0.142,199.006,
0.143001,-180.672,
0.144,-83.5671,
0.145,-132.635,
0.146001,-602.588,
0.147,200.261,
0.148001,-257.996,
0.149,-376.371,
0.15,54.2895,
0.151001,12.3708,
0.152,168.226,
0.153,164.432,
0.154001,-422.31,
0.155,53.0267,
0.156001,-103.791,
0.157,712.7,
0.158,211.089,
0.159001,-80.7264,
0.16,325.456,
0.161,-51.3942,
0.162001,-272.523,
0.163,178.997,
0.164001,-228.643,
0.165001,316.799,
0.166,-115.309,
0.167001,93.0339,
0.168,-260.963,
0.169,281.227,
0.170001,167.709,
0.171,341.87,
0.172,69.6024,
0.173001,-343.912,
0.174,216.215,
0.175001,236.734,
0.176,-24.7506,
0.177,-343.748,
0.178001,458.924,
0.179,-657.244,
