Time(s),Energy(J),ALLPD_Struts/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_STRUTS-1/
0,0,
0.00500042,0,
0.01,7.92E-05,
0.0150009,0.516608,
0.0200002,1.24723,
0.0250003,1.36499,
0.0300001,1.39059,
0.0350011,1.39162,
0.0400002,1.40698,
0.0450004,1.48582,
0.0500007,2.56,
0.0550008,276.038,
0.06,2929.72,
0.0650004,4152.36,
0.0700006,4924.11,
0.0750003,5519.7,
0.0800005,5872.03,
0.0850007,6048.19,
0.0900006,6127.88,
0.0950008,6190.79,
0.100001,6203.38,
0.105001,6203.38,
0.110001,6207.57,
0.115001,6207.57,
0.120001,6211.76,
0.125001,6215.96,
0.130001,6215.96,
0.135001,6224.35,
0.14,6232.74,
0.145001,6245.32,
0.15,6257.9,
0.155001,6257.9,
0.16,6266.29,
0.165001,6270.48,
0.17,6270.48,
0.175001,6270.48,
0.18,6270.48,
0.185001,6270.48,
0.19,6270.48,
0.195001,6270.48,
0.2,6270.48,
0.205001,6270.48,
0.21,6270.48,
0.215001,6270.48,
0.22,6270.48,
0.225001,6274.68,
0.23,6278.87,
0.235001,6278.87,
0.24,6283.07,
0.245001,6287.26,
0.25,6295.65,
0.255001,6295.65,
0.26,6295.65,
0.265001,6295.65,
0.27,6295.65,
0.275,6295.65,
0.280001,6295.65,
0.285,6295.65,
0.290001,6295.65,
0.295,6299.84,
0.3,6299.84,
