Time(s),Energy(J),ALLPD_Frames/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FRAMES-1/
0,0,
0.00500042,11.5753,
0.01,459.538,
0.0150009,1555.04,
0.0200002,2734.69,
0.0250003,3927.97,
0.0300001,4907.34,
0.0350011,5754.58,
0.0400002,6534.73,
0.0450004,8074.04,
0.0500007,10359.9,
0.0550008,13262.4,
0.06,14403.2,
0.0650004,15292.4,
0.0700006,16810.8,
0.0750003,18740.2,
0.0800005,20317.2,
0.0850007,20870.9,
0.0900006,21089,
0.0950008,21206.4,
0.100001,21256.7,
0.105001,21340.6,
0.110001,21374.2,
0.115001,21374.2,
0.120001,21374.2,
0.125001,21374.2,
0.130001,21391,
0.135001,21391,
0.14,21391,
0.145001,21391,
0.15,21391,
0.155001,21391,
0.16,21391,
0.165001,21391,
0.17,21407.7,
0.175001,21407.7,
0.18,21407.7,
0.185001,21407.7,
0.19,21407.7,
0.195001,21407.7,
0.2,21407.7,
0.205001,21407.7,
0.21,21407.7,
0.215001,21407.7,
0.22,21407.7,
0.225001,21407.7,
0.23,21407.7,
0.235001,21407.7,
0.24,21407.7,
0.245001,21407.7,
0.25,21407.7,
0.255001,21424.5,
0.26,21424.5,
0.265001,21424.5,
0.27,21424.5,
0.275,21424.5,
0.280001,21424.5,
0.285,21424.5,
0.290001,21424.5,
0.295,21424.5,
0.3,21424.5,
