Time(s),Energy(J),ALLPD_Stiffeners/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_STIFFENERS-1/
0,0,
0.00500042,0.001109,
0.01,2.05005,
0.0150009,5.68525,
0.0200002,7.29498,
0.0250003,7.85203,
0.0300001,8.96205,
0.0350011,10.6004,
0.0400002,12.5829,
0.0450004,64.9789,
0.0500007,127.074,
0.0550008,142.737,
0.06,145.359,
0.0650004,183.763,
0.0700006,331.088,
0.0750003,405.012,
0.0800005,432.275,
0.0850007,442.237,
0.0900006,451.15,
0.0950008,455.868,
0.100001,461.898,
0.105001,464.257,
0.110001,465.043,
0.115001,465.306,
0.120001,466.354,
0.125001,466.878,
0.130001,467.141,
0.135001,468.713,
0.14,470.811,
0.145001,470.811,
0.15,470.811,
0.155001,471.073,
0.16,471.073,
0.165001,471.073,
0.17,471.073,
0.175001,471.073,
0.18,471.073,
0.185001,471.073,
0.19,471.073,
0.195001,471.073,
0.2,471.073,
0.205001,471.073,
0.21,471.073,
0.215001,471.073,
0.22,471.073,
0.225001,471.073,
0.23,471.073,
0.235001,471.073,
0.24,471.073,
0.245001,471.073,
0.25,471.073,
0.255001,471.073,
0.26,471.073,
0.265001,471.073,
0.27,471.073,
0.275,471.073,
0.280001,471.073,
0.285,471.073,
0.290001,471.073,
0.295,471.073,
0.3,471.335,
