Time(s),Acceleration(m_s2),1_XY-Field A.1/A/C3/MeshedPart-PART-1-1 in Element 103580
0,-9.18151,
0.00100079,-9.23735,
0.00200062,-10.0879,
0.00300095,-9.30517,
0.00400089,-9.07202,
0.00500042,-99.9486,
0.00600046,218.909,
0.00700043,-59.6589,
0.00800039,-22.1878,
0.00900001,826.855,
0.01,359.397,
0.0110006,232.797,
0.012,52.5876,
0.0130004,229.618,
0.014001,175.836,
0.0150009,-298.284,
0.0160001,-118.622,
0.0170009,-103.829,
0.0180007,-247.402,
0.0190005,55.1875,
0.0200002,-238.082,
0.0210003,-178.603,
0.0220009,19.1499,
0.0230005,-189.475,
0.0240002,127.985,
0.0250003,-14.8596,
0.026001,-74.5097,
0.0270006,444.197,
0.0280002,-80.1947,
0.0290008,470.464,
0.0300001,160.096,
0.0310008,-110.184,
0.0320005,63.5987,
0.0330007,-124.328,
0.0340009,-14.4086,
0.0350011,-326.25,
0.0360002,-78.7229,
0.0370004,-64.5321,
0.0380006,-134.511,
0.0390001,-77.453,
0.0400002,16.8925,
0.0410007,82.9305,
0.0420009,-22.8665,
0.0430011,-4.83067,
0.0440002,-64.7023,
0.0450004,215.449,
0.0460001,94.9111,
0.0470007,81.526,
0.0480002,341.369,
0.0490004,-116.564,
0.0500007,172.531,
0.0510006,-306.293,
0.0520009,105.673,
0.0530003,73.7827,
0.0540008,488.315,
0.0550008,262.819,
0.056001,473.348,
0.0570003,174.222,
0.0580007,63.5702,
0.0590004,265.805,
0.06,126.468,
0.0610002,-127.35,
0.0620002,-533.812,
0.063001,871.974,
0.064001,-154.753,
0.0650004,-62.7646,
0.0660008,740.991,
0.0670004,527.359,
0.0680008,1168.06,
0.0690002,412.727,
0.0700006,-764.74,
0.071001,852.341,
0.0720009,-122.623,
0.0730007,649.104,
0.0740004,-6.15321,
0.0750003,392.298,
0.0760009,462.084,
0.0770002,-34.9737,
0.078001,449.799,
0.0790001,-977.823,
0.0800005,-481.478,
0.0810007,871.222,
0.0820008,160.195,
0.083,-148.178,
0.0840008,-688.632,
0.0850007,906.826,
0.0860005,636.291,
0.0870003,254.315,
0.088,199.784,
0.0890008,1025.88,
0.0900006,-432.694,
0.0910004,314.821,
0.0920004,-640.227,
0.0930002,-161.53,
0.094001,541.792,
0.0950008,448.762,
0.0960006,-108.458,
0.0970003,-511.268,
0.0980001,-300.669,
0.0990009,207.632,
0.100001,80.1016,
0.101001,574.232,
0.102,4.37955,
0.103,92.3655,
0.104001,496.895,
0.105001,249.034,
0.106,-106.51,
0.107,-172.034,
0.108,-148.919,
0.109001,-677.768,
0.110001,-317.532,
0.111,-109.068,
0.112,-233.068,
0.113,216.682,
0.114001,38.9235,
0.115001,274.665,
0.116,-61.8547,
0.117,240.842,
0.118,161.203,
0.119001,-167.795,
0.120001,-120.997,
0.121,299.68,
0.122,230.211,
0.123,322.721,
0.124001,220.864,
0.125001,-290.89,
0.126,280.129,
0.127001,-14.4551,
0.128001,388.679,
0.129001,-633.842,
0.130001,-318.891,
0.131,-134.45,
0.132,-213.623,
0.133,-166.114,
0.134,93.0152,
0.135001,-106.811,
0.136001,179.238,
0.137001,-280.552,
0.138001,296.74,
0.139001,-540.163,
0.14,400.722,
0.141,-121.901,
0.142001,45.9581,
0.143,9.1367,
0.144001,-237.352,
0.145001,744.074,
0.146001,-163.023,
0.147,299.865,
0.148,-91.5569,
0.149,-174.569,
0.15,254.172,
0.151001,-626.856,
0.152001,-136.822,
0.153001,-120.138,
0.154001,327.591,
0.155001,408.488,
0.156,-273.375,
0.157,-198.462,
0.158,445.849,
0.159,8.89546,
0.16,-130.152,
0.161001,257.148,
0.162001,-111.998,
0.163001,86.2588,
0.164001,-498.556,
0.165001,445.598,
0.166,-324.179,
0.167,198.69,
0.168,119.306,
0.169,176.217,
0.17,-472.842,
0.171,51.4719,
0.172,206.614,
0.173001,330.208,
0.174001,-320.236,
0.175001,-85.3478,
0.176001,140.951,
0.177,-94.7848,
0.178,-113.995,
0.179,109.682,
0.18,-111.95,
0.181,252.863,
0.182001,-229.262,
0.183001,-170.72,
0.184001,67.7514,
0.185001,-337.141,
0.186001,345.086,
0.187,515.763,
0.188,106.958,
0.189,3.15594,
0.19,109.252,
0.191,153.923,
0.192001,346.342,
0.193001,-517.831,
0.194001,26.7749,
0.195001,-618.915,
0.196001,215.75,
0.197,-5.77028,
0.198,105.176,
0.199,-80.5549,
0.2,450.07,
0.201001,106.458,
0.202001,-371.963,
0.203001,119.108,
0.204001,-134.138,
0.205001,-249.869,
0.206,205.129,
0.207,-103.571,
0.208,-322.877,
0.209,276.278,
0.21,-332.193,
0.211,-521.45,
0.212001,-632.455,
0.213001,182.252,
0.214001,269.77,
0.215001,-145.224,
0.216001,-196.575,
0.217001,330.037,
0.218,51.9112,
0.219,257.015,
0.22,43.394,
0.221,-656.611,
0.222,465.35,
0.223001,-147.163,
0.224001,117.811,
0.225001,55.148,
0.226001,-176.279,
0.227001,-79.3182,
0.228,422.722,
0.229,-571.194,
0.23,-110.726,
0.231,-414.951,
0.232,-26.9477,
0.233001,350.715,
0.234001,-52.5212,
0.235001,283.774,
0.236001,116.158,
0.237,-182.082,
0.238,58.0973,
0.239,-191.105,
0.24,-111.767,
0.241,-6.38355,
0.242001,-335.066,
0.243001,383.178,
0.244001,-160.912,
0.245001,42.8688,
0.246001,15.1321,
0.247,-36.9528,
0.248,-133.975,
0.249,-82.2767,
0.25,89.8845,
0.251,-206.923,
0.252001,254.222,
0.253001,333.467,
0.254001,8.67237,
0.255001,-156.21,
0.256,7.85434,
0.257,370.973,
0.258,-289.768,
0.259,-183.868,
0.26,-128.314,
0.261001,84.9547,
0.262001,334.672,
0.263001,-349.226,
0.264001,104.303,
0.265001,-180.565,
0.266,52.1976,
0.267,-283.393,
0.268,-275.388,
0.269,211.537,
0.27,-375.333,
0.271001,177.571,
0.272001,-200.046,
0.273001,-65.4791,
0.274001,289.807,
0.275,49.4588,
0.276,-104.331,
0.277,-5.27487,
0.278,38.8369,
0.279,-130.12,
0.280001,-389.623,
0.281001,383.48,
0.282001,59.0562,
0.283001,250.602,
0.284001,-140.225,
0.285,-81.3452,
0.286,-482.476,
0.287,46.8547,
0.288,-266.257,
0.289,-223.834,
0.290001,-169.45,
0.291001,-94.6458,
0.292001,29.4501,
0.293001,379.118,
0.294,220.605,
0.295,660.162,
0.296,-153.744,
0.297,472.782,
0.298,-176.814,
0.299001,-420.158,
0.3,-143.215,
Time(s),Acceleration(m_s2),2_XY-Field A.1/A/C3/MeshedPart-PART-1-1 in Element 103445
0,-9.18151,
0.00100079,-9.66926,
0.00200062,-9.90006,
0.00300095,-9.29198,
0.00400089,-9.49621,
0.00500042,-23.2968,
0.00600046,136.116,
0.00700043,-24.7785,
0.00800039,13.4146,
0.00900001,443.93,
0.01,333.227,
0.0110006,369.11,
0.012,613.101,
0.0130004,263.4,
0.014001,185.578,
0.0150009,1.80821,
0.0160001,-398.166,
0.0170009,-245.258,
0.0180007,-640.236,
0.0190005,-363.802,
0.0200002,-550.888,
0.0210003,-112.505,
0.0220009,-164.552,
0.0230005,250.48,
0.0240002,191.396,
0.0250003,432.173,
0.026001,124.438,
0.0270006,279.003,
0.0280002,244.259,
0.0290008,184.342,
0.0300001,112.286,
0.0310008,-114.694,
0.0320005,232.495,
0.0330007,-72.3482,
0.0340009,-11.2197,
0.0350011,-203.44,
0.0360002,28.0417,
0.0370004,-99.8823,
0.0380006,-368.568,
0.0390001,-46.7004,
0.0400002,-143.095,
0.0410007,-146.064,
0.0420009,53.9336,
0.0430011,186.536,
0.0440002,17.2825,
0.0450004,101.993,
0.0460001,27.3049,
0.0470007,222.729,
0.0480002,132.356,
0.0490004,-115.547,
0.0500007,76.7537,
0.0510006,127.4,
0.0520009,-9.9661,
0.0530003,49.7417,
0.0540008,89.2871,
0.0550008,304.39,
0.056001,60.0403,
0.0570003,687.336,
0.0580007,420.104,
0.0590004,57.9878,
0.06,424.19,
0.0610002,-319.863,
0.0620002,-296.495,
0.063001,293.503,
0.064001,-13.3583,
0.0650004,-126.868,
0.0660008,9.78149,
0.0670004,1010.51,
0.0680008,182.684,
0.0690002,543.254,
0.0700006,354.123,
0.071001,831.637,
0.0720009,1036.81,
0.0730007,17.9585,
0.0740004,210.201,
0.0750003,-39.685,
0.0760009,388.455,
0.0770002,-90.0488,
0.078001,223.033,
0.0790001,-471.161,
0.0800005,252.481,
0.0810007,319.941,
0.0820008,-65.452,
0.083,922.534,
0.0840008,-54.839,
0.0850007,347.86,
0.0860005,834.015,
0.0870003,-232.089,
0.088,780.285,
0.0890008,-760.222,
0.0900006,696.432,
0.0910004,413.997,
0.0920004,-590.667,
0.0930002,-300.022,
0.094001,308.564,
0.0950008,-32.4098,
0.0960006,276.359,
0.0970003,-147.444,
0.0980001,142.442,
0.0990009,321.504,
0.100001,204.542,
0.101001,145.424,
0.102,-141.303,
0.103,294.342,
0.104001,39.5797,
0.105001,-393.229,
0.106,346.36,
0.107,230.085,
0.108,52.5244,
0.109001,486.278,
0.110001,-77.2898,
0.111,163.829,
0.112,-150.688,
0.113,-42.9036,
0.114001,356.649,
0.115001,-351.273,
0.116,-283.57,
0.117,218.913,
0.118,-336.847,
0.119001,523.273,
0.120001,-281.946,
0.121,102.035,
0.122,24.1517,
0.123,296.843,
0.124001,-733.146,
0.125001,82.6036,
0.126,-130.191,
0.127001,547.133,
0.128001,93.2239,
0.129001,-262.923,
0.130001,-33.8111,
0.131,-192.495,
0.132,456.578,
0.133,-386.399,
0.134,132.046,
0.135001,-481.881,
0.136001,89.1099,
0.137001,53.0276,
0.138001,72.6419,
0.139001,-212.764,
0.14,209.273,
0.141,486.637,
0.142001,195.298,
0.143,-321.354,
0.144001,322.769,
0.145001,311.491,
0.146001,82.0133,
0.147,51.7142,
0.148,-58.681,
0.149,-133.025,
0.15,-223.33,
0.151001,381.421,
0.152001,-418.258,
0.153001,175.772,
0.154001,-273.389,
0.155001,123.391,
0.156,-114.009,
0.157,69.3036,
0.158,-18.9448,
0.159,3.166,
0.16,63.3866,
0.161001,114.684,
0.162001,-5.46142,
0.163001,-525.411,
0.164001,555.457,
0.165001,-468.362,
0.166,32.2061,
0.167,-274.284,
0.168,265.071,
0.169,-268.539,
0.17,227.356,
0.171,51.1441,
0.172,362.624,
0.173001,-177.671,
0.174001,248.931,
0.175001,-335.085,
0.176001,218.657,
0.177,140.565,
0.178,-119.208,
0.179,49.3946,
0.18,-177.624,
0.181,430.435,
0.182001,-65.8953,
0.183001,77.4441,
0.184001,401.577,
0.185001,-351.146,
0.186001,267.328,
0.187,-251.675,
0.188,-179.949,
0.189,-215.464,
0.19,130.177,
0.191,-136.796,
0.192001,173.144,
0.193001,-154.072,
0.194001,166.075,
0.195001,17.7092,
0.196001,331.098,
0.197,-254.216,
0.198,2.3129,
0.199,-492.704,
0.2,305.594,
0.201001,1.2385,
0.202001,22.6903,
0.203001,139.099,
0.204001,-40.3087,
0.205001,359.196,
0.206,-449.336,
0.207,230.499,
0.208,-224.945,
0.209,-40.2634,
0.21,160.21,
0.211,-450.999,
0.212001,190.369,
0.213001,-143.907,
0.214001,213.828,
0.215001,-150.446,
0.216001,100.893,
0.217001,-74.4814,
0.218,-148.862,
0.219,-49.5302,
0.22,-191.339,
0.221,14.0323,
0.222,-211.166,
0.223001,588.046,
0.224001,-559.994,
0.225001,103.222,
0.226001,-258.105,
0.227001,231.806,
0.228,-92.1939,
0.229,-42.2986,
0.23,-247.741,
0.231,445.54,
0.232,-433.163,
0.233001,135.572,
0.234001,-268.334,
0.235001,70.7508,
0.236001,-200.249,
0.237,-40.3148,
0.238,-81.1616,
0.239,202.296,
0.24,58.819,
0.241,-80.2631,
0.242001,12.9572,
0.243001,204.764,
0.244001,-103.166,
0.245001,22.3061,
0.246001,-159.814,
0.247,15.1443,
0.248,1.95538,
0.249,455.883,
0.25,-465.15,
0.251,1.69327,
0.252001,118.956,
0.253001,95.7415,
0.254001,168.903,
0.255001,-397.942,
0.256,463.772,
0.257,-181.149,
0.258,366.165,
0.259,64.4172,
0.26,54.6917,
0.261001,-11.1197,
0.262001,104.695,
0.263001,-273.13,
0.264001,21.4397,
0.265001,-469.726,
0.266,251.46,
0.267,-213.523,
0.268,195.187,
0.269,-307.811,
0.27,471.146,
0.271001,-202.097,
0.272001,-79.8496,
0.273001,-148.758,
0.274001,-217.177,
0.275,83.1608,
0.276,-89.5997,
0.277,-63.0435,
0.278,126.338,
0.279,276.274,
0.280001,95.4929,
0.281001,-151.078,
0.282001,-403.507,
0.283001,336.425,
0.284001,-351.916,
0.285,441.169,
0.286,-236.43,
0.287,343.331,
0.288,-86.7064,
0.289,609.337,
0.290001,-180.558,
0.291001,249.06,
0.292001,-179.036,
0.293001,171.033,
0.294,-334.926,
0.295,161.877,
0.296,53.1223,
0.297,-242.368,
0.298,-23.1939,
0.299001,-26.3103,
0.3,252.813,
Time(s),Acceleration(m_s2),3_XY-Field A.1/A/C3/MeshedPart-PART-1-1 at Node 123658
0,-9.18151,
0.00100079,-10.7999,
0.00200062,-9.90006,
0.00300095,-8.83887,
0.00400089,-9.72276,
0.00500042,15.0261,
0.00600046,5.30335,
0.00700043,247.492,
0.00800039,159.986,
0.00900001,292.572,
0.01,478.188,
0.0110006,170.595,
0.012,502.062,
0.0130004,164.849,
0.014001,-29.6111,
0.0150009,238.763,
0.0160001,-380.672,
0.0170009,-12.8577,
0.0180007,-467.956,
0.0190005,-182.771,
0.0200002,-263.629,
0.0210003,6.18743,
0.0220009,-178.55,
0.0230005,-133.47,
0.0240002,100.765,
0.0250003,225.398,
0.026001,12.3746,
0.0270006,535.646,
0.0280002,110.49,
0.0290008,384.499,
0.0300001,-133.913,
0.0310008,122.865,
0.0320005,106.07,
0.0330007,-117.118,
0.0340009,-219.651,
0.0350011,-103.417,
0.0360002,-27.8433,
0.0370004,272.689,
0.0380006,-239.096,
0.0390001,60.9894,
0.0400002,-272.773,
0.0410007,-183.852,
0.0420009,121.095,
0.0430011,-124.63,
0.0440002,-57.4538,
0.0450004,80.4349,
0.0460001,107.29,
0.0470007,103.61,
0.0480002,220.969,
0.0490004,9.28087,
0.0500007,-173.241,
0.0510006,-82.1856,
0.0520009,87.1219,
0.0530003,217.36,
0.0540008,66.0306,
0.0550008,454.762,
0.056001,270.652,
0.0570003,884.59,
0.0580007,-7.19056,
0.0590004,71.4732,
0.06,179.351,
0.0610002,-471.576,
0.0620002,-238.839,
0.063001,-38.7621,
0.064001,493.276,
0.0650004,-74.8833,
0.0660008,935.481,
0.0670004,464.731,
0.0680008,-15.7034,
0.0690002,352.26,
0.0700006,142.824,
0.071001,5.71543,
0.0720009,1379.56,
0.0730007,-220.577,
0.0740004,806.084,
0.0750003,-536.735,
0.0760009,395.451,
0.0770002,167.46,
0.078001,324.068,
0.0790001,-175.774,
0.0800005,-157.578,
0.0810007,-397.141,
0.0820008,752.191,
0.083,221.773,
0.0840008,51.676,
0.0850007,804.656,
0.0860005,368.76,
0.0870003,509.883,
0.088,-702.13,
0.0890008,-610.583,
0.0900006,765.971,
0.0910004,461.804,
0.0920004,46.2109,
0.0930002,-243.751,
0.094001,916.273,
0.0950008,-195.85,
0.0960006,479.136,
0.0970003,316.97,
0.0980001,131.503,
0.0990009,248.487,
0.100001,-748.478,
0.101001,-389.405,
0.102,37.5903,
0.103,-111.483,
0.104001,209.567,
0.105001,420.044,
0.106,30.4162,
0.107,-178.591,
0.108,195.588,
0.109001,48.1276,
0.110001,293.691,
0.111,15.0869,
0.112,83.0915,
0.113,-110.716,
0.114001,631.233,
0.115001,-331.583,
0.116,-66.4412,
0.117,167.892,
0.118,-3.09753,
0.119001,-323.163,
0.120001,-370.348,
0.121,-459.151,
0.122,332.504,
0.123,235.795,
0.124001,333.75,
0.125001,925.176,
0.126,-87.1562,
0.127001,327.817,
0.128001,-32.9757,
0.129001,40.2957,
0.130001,-454.075,
0.131,257.969,
0.132,-12.1055,
0.133,-8.73266,
0.134,-359.955,
0.135001,-88.2736,
0.136001,200.201,
0.137001,319.222,
0.138001,-261.518,
0.139001,60.1076,
0.14,-332.966,
0.141,90.2159,
0.142001,71.4282,
0.143,102.737,
0.144001,112.941,
0.145001,135.244,
0.146001,161.187,
0.147,-76.2326,
0.148,-450.486,
0.149,219.026,
0.15,-6.54593,
0.151001,261.02,
0.152001,-184.394,
0.153001,137.96,
0.154001,-42.92,
0.155001,-239.531,
0.156,513.734,
0.157,-22.424,
0.158,-335.395,
0.159,275.704,
0.16,-281.508,
0.161001,17.8607,
0.162001,-98.6451,
0.163001,214.413,
0.164001,655.724,
0.165001,-56.6758,
0.166,81.4609,
0.167,260.976,
0.168,-500.247,
0.169,56.4268,
0.17,-125.052,
0.171,339.602,
0.172,-392.197,
0.173001,-76.9553,
0.174001,-90.3686,
0.175001,234.886,
0.176001,95.0545,
0.177,-4.12058,
0.178,487.376,
0.179,-469.835,
0.18,235.077,
0.181,299.292,
0.182001,-388.504,
0.183001,-178.105,
0.184001,23.884,
0.185001,-71.6584,
0.186001,-28.616,
0.187,-95.806,
0.188,-35.8964,
0.189,-124.917,
0.19,-234.393,
0.191,358.267,
0.192001,-359.619,
0.193001,38.2097,
0.194001,-181.052,
0.195001,100.881,
0.196001,129.356,
0.197,-169.494,
0.198,253.144,
0.199,38.7967,
0.2,24.8539,
0.201001,2.90999,
0.202001,-342.188,
0.203001,-485.816,
0.204001,-40.5077,
0.205001,-41.4822,
0.206,-252.296,
0.207,-288.506,
0.208,415.316,
0.209,-81.7306,
0.21,31.3095,
0.211,-203.126,
0.212001,-221.244,
0.213001,-18.1411,
0.214001,121.808,
0.215001,-86.3555,
0.216001,148.982,
0.217001,-10.7316,
0.218,-11.4871,
0.219,70.6904,
0.22,-480.763,
0.221,231.581,
0.222,-152.541,
0.223001,-235.885,
0.224001,-277.13,
0.225001,502.139,
0.226001,47.8339,
0.227001,332.951,
0.228,-210.894,
0.229,96.15,
0.23,-186.58,
0.231,358.568,
0.232,-211.222,
0.233001,-242.302,
0.234001,131.704,
0.235001,315.207,
0.236001,226.989,
0.237,-223.044,
0.238,-188.973,
0.239,-179.122,
0.24,-321.696,
0.241,298.086,
0.242001,27.8225,
0.243001,-405.141,
0.244001,412.119,
0.245001,182.243,
0.246001,-61.2512,
0.247,-242.117,
0.248,17.2578,
0.249,35.7571,
0.25,-254.037,
0.251,-2.60716,
0.252001,-118.135,
0.253001,350.861,
0.254001,92.4251,
0.255001,-268.175,
0.256,272.747,
0.257,-224.759,
0.258,171.003,
0.259,-18.8448,
0.26,130.445,
0.261001,204.88,
0.262001,74.4137,
0.263001,-82.6808,
0.264001,-59.6102,
0.265001,-40.6174,
0.266,138.53,
0.267,115.999,
0.268,-94.6176,
0.269,11.398,
0.27,-203.013,
0.271001,-55.4452,
0.272001,249.065,
0.273001,449.212,
0.274001,304.013,
0.275,188.495,
0.276,72.0014,
0.277,-32.4919,
0.278,-33.7002,
0.279,-154.807,
0.280001,156.182,
0.281001,-497.277,
0.282001,-117.463,
0.283001,-274.744,
0.284001,385.38,
0.285,98.5369,
0.286,-48.9286,
0.287,111.814,
0.288,-43.1665,
0.289,130.573,
0.290001,-263.398,
0.291001,106.264,
0.292001,51.8224,
0.293001,-166.018,
0.294,70.8395,
0.295,-422.681,
0.296,57.8814,
0.297,-23.4854,
0.298,-281.966,
0.299001,-223.244,
0.3,205.368,
Time(s),Acceleration(m_s2),4_XY-Field A.1/A/C3/MeshedPart-PART-1-1 at Node 123771
0,-9.18151,
0.00100079,-9.89994,
0.00200062,-9.90006,
0.00300095,-9.72276,
0.00400089,-8.83887,
0.00500042,-217.436,
0.00600046,133.468,
0.00700043,-339.417,
0.00800039,-345.606,
0.00900001,-183.852,
0.01,-491.446,
0.0110006,-85.7394,
0.012,-30.9369,
0.0130004,29.169,
0.014001,-114.909,
0.0150009,435.283,
0.0160001,323.273,
0.0170009,203.887,
0.0180007,302.174,
0.0190005,144.197,
0.0200002,305.883,
0.0210003,355.335,
0.0220009,273.129,
0.0230005,12.3747,
0.0240002,242.633,
0.0250003,-22.5398,
0.026001,-83.0869,
0.0270006,172.361,
0.0280002,-418.093,
0.0290008,-136.122,
0.0300001,175.015,
0.0310008,-48.6155,
0.0320005,22.9819,
0.0330007,-1.76782,
0.0340009,421.623,
0.0350011,-118.886,
