Time(s),Energy(J),ALLPD_Floor_struts/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_STRUTS-1/
0,0,
0.00500011,0,
0.0100009,0,
0.0150006,0.384768,
0.0200003,1.35475,
0.0250008,1.44486,
0.0300007,1.5913,
0.0350008,1.66093,
0.0400007,1.75718,
0.0450005,1.82784,
0.0500004,4.72678,
0.0550009,722.469,
0.0600002,3363.83,
0.065,4383.05,
0.0700001,5289.02,
0.0750004,6069.16,
0.0800003,6434.06,
0.0850002,6538.92,
0.090001,6568.28,
0.0950005,6576.67,
0.1,6580.86,
0.105,6580.86,
0.11,6585.06,
0.115001,6585.06,
0.12,6589.25,
0.125001,6589.25,
0.13,6593.45,
0.135001,6593.45,
0.14,6593.45,
0.145001,6597.64,
0.150001,6601.83,
0.155,6606.03,
0.160001,6606.03,
0.165,6606.03,
0.170001,6606.03,
0.175,6606.03,
0.180001,6606.03,
0.185,6606.03,
0.190001,6606.03,
0.195,6606.03,
0.2,6606.03,
0.205001,6610.22,
0.21,6610.22,
0.215001,6610.22,
0.22,6610.22,
0.225001,6610.22,
0.23,6610.22,
0.235001,6610.22,
0.24,6610.22,
0.245001,6610.22,
0.250001,6610.22,
0.255,6610.22,
0.260001,6610.22,
0.265,6610.22,
0.270001,6610.22,
0.275,6610.22,
0.280001,6610.22,
0.285,6610.22,
0.29,6610.22,
0.295001,6610.22,
0.3,6610.22,
