Time(s),Energy(J),ALLPD_Skin/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_SKIN-1/
0,0,
0.00500058,0,
0.0100006,7.79469,
0.0150008,166.855,
0.0200002,222.56,
0.0250008,278.135,
0.0300004,359.924,
0.0350001,450.101,
0.0400006,535.56,
0.0450002,656.409,
0.0500008,809.501,
0.0550004,915.931,
0.0600001,1053.82,
0.0650006,1217.4,
0.0700003,1303.38,
0.0750008,1386.22,
0.0800005,1451.23,
0.0850001,1495.27,
0.0900007,1499.46,
0.0950003,1500.51,
0.100001,1500.51,
0.105,1500.51,
0.11,1500.51,
0.115001,1500.51,
0.12,1500.51,
0.125001,1500.51,
0.130001,1500.51,
0.135,1500.51,
0.14,1500.51,
0.145,1500.51,
0.150001,1500.51,
0.155001,1500.51,
0.160001,1500.51,
0.165,1500.51,
0.17,1500.51,
0.175,1500.51,
0.180001,1500.51,
0.185001,1500.51,
0.19,1500.51,
0.195,1500.51,
0.2,1500.51,
0.205001,1500.51,
0.210001,1500.51,
0.215,1500.51,
0.22,1500.51,
0.225,1500.51,
0.230001,1500.51,
0.235001,1500.51,
0.24,1500.51,
0.245,1500.51,
0.25,1500.51,
0.255001,1500.51,
0.26,1500.51,
0.265001,1500.51,
0.27,1500.51,
0.275,1500.51,
0.280001,1500.51,
0.285,1500.51,
0.290001,1500.51,
0.295,1500.51,
0.3,1500.51,
