Time(s),Acceleration(m_s2),1_AT3_Field/A/C3/MeshedPart-PART-1-1 at Node 120505
0,-9.17709,
0.00100087,-8.81922,
0.00200092,-8.81922,
0.00300098,-9.70114,
0.0040004,-10.7891,
0.00500011,-57.3251,
0.00600004,-6.17314,
0.00700095,208.134,
0.00800051,-204.607,
0.00900044,329.025,
0.0100009,468.496,
0.0110003,70.1558,
0.0120003,143.299,
0.0130004,474.536,
0.014001,-143.98,
0.0150006,-80.7357,
0.016001,-230.438,
0.017001,-180.873,
0.0180008,-117.047,
0.0190005,-393.775,
0.0200003,-1.83623,
0.0210001,-129.427,
0.0220002,-97.908,
0.0230004,29.1061,
0.0240006,115.554,
0.0250008,157.938,
0.026001,274.334,
0.0270001,347.243,
0.0280003,-60.8655,
0.0290005,280.094,
0.0300007,26.4666,
0.0310009,52.4822,
0.0320011,-425.209,
0.0330002,82.9093,
0.0340004,-327.708,
0.0350008,-245.247,
0.0360008,-133.994,
0.0370007,-58.2414,
0.0380006,411.991,
0.0390005,-134.111,
0.0400007,29.1159,
0.0410009,42.3545,
0.042,-47.6333,
0.0430002,101.442,
0.0440005,5.29369,
0.0450005,-277.87,
0.0460002,29.9896,
0.0470001,7.3373,
0.0480006,44.9418,
0.049001,340.271,
0.0500004,99.5331,
0.0510008,95.8693,
0.0520006,568.097,
0.0530006,83.2059,
0.0540007,331.006,
0.0550009,309.408,
0.0560008,275.931,
0.0570008,121.667,
0.0580006,11.5204,
0.0590003,-3.68634,
0.0600002,136.119,
0.0610008,537.978,
0.0620008,-887.678,
0.0630002,-504.287,
0.0640006,800.275,
0.065,-194.348,
0.0660009,769.974,
0.0670003,332.619,
0.0680008,299.049,
0.069001,-92.7566,
0.0700001,1013.23,
0.0710008,-36.3698,
0.0720009,-85.1924,
0.0730003,634.284,
0.0740008,167.623,
0.0750004,123.426,
0.0760006,173.164,
0.0770001,508.479,
0.0780002,204.973,
0.0790001,218.628,
0.0800003,350.192,
0.0810003,107.411,
0.0820008,-124.319,
0.0830008,-76.9504,
0.0840008,369.182,
0.0850002,972.785,
0.086001,57.8793,
0.0870006,721.565,
0.088,7.60295,
0.0890004,204.207,
0.090001,-55.7493,
0.0910003,33.5444,
0.0920007,428.29,
0.0930001,-410.522,
0.0940007,572.399,
0.0950005,-303.574,
0.0960003,301.878,
0.0970001,69.0353,
0.0980009,-378.567,
0.0990007,625.817,
0.1,326.052,
0.101,-237.063,
0.102,128.643,
0.103001,265.87,
0.104001,178.081,
0.105,196.069,
0.106,121.974,
0.107,122.663,
0.108001,-53.3127,
0.109001,-334.221,
0.11,-356.187,
0.111,-668.654,
0.112,277.195,
0.113,-60.3153,
0.114,-72.5321,
0.115001,73.0072,
0.116001,-380.563,
0.117001,462.701,
0.118001,-178.252,
0.119,187.508,
0.12,-159.495,
0.121,-77.8807,
0.122,39.5265,
0.123,-163.926,
0.124001,-234.149,
0.125001,-265.572,
0.126001,531.762,
0.127001,73.4194,
0.128001,312.529,
0.129,-320.31,
0.13,-61.2227,
0.131,178.489,
0.132,-588.321,
0.133,731.582,
0.134001,-317.512,
0.135001,279.022,
0.136001,48.5444,
0.137001,-268.991,
0.138001,130.364,
0.139,57.6842,
0.14,32.5928,
0.141,249.619,
0.142,-178.022,
0.143001,114.728,
0.144001,247.867,
0.145001,57.7089,
0.146001,227.048,
0.147,240.566,
0.148001,-110.627,
0.149001,251.417,
0.150001,-270.794,
0.151,-160.325,
0.152,49.4875,
0.153001,-160.894,
0.154,28.3383,
0.155,393.041,
0.156,-321.121,
0.157001,334.128,
0.158001,-54.5275,
0.159001,-30.2101,
0.160001,69.0394,
0.161001,-206.725,
0.162,548.147,
0.163,-33.8008,
0.164,64.9519,
0.165,-88.9184,
0.166,39.7902,
0.167001,243.436,
0.168001,-38.6021,
0.169001,-41.7223,
0.170001,-138.588,
0.171001,-99.63,
0.172,34.762,
0.173,-313.748,
0.174,-131.251,
0.175,140.344,
0.176001,-24.5655,
0.177001,-112.028,
0.178001,-514.774,
0.179001,-44.8073,
0.180001,92.0013,
0.181,75.5056,
0.182,165.677,
0.183,-158.15,
0.184,-57.2412,
0.185,-203.62,
0.186001,69.3949,
0.187001,-239.44,
0.188001,109.925,
0.189001,63.6193,
0.190001,-629.484,
0.191,161.573,
0.192,-143.716,
0.193,352.719,
0.194,143.193,
0.195,-62.172,
0.196001,-209.685,
0.197001,-257.017,
0.198001,22.5519,
0.199001,54.7797,
0.2,-12.5709,
0.201,129.859,
0.202,53.7206,
0.203,-79.5859,
0.204,56.2466,
0.205001,-497.321,
0.206001,156.08,
0.207001,79.5778,
0.208001,-542.141,
0.209001,-79.6746,
0.21,-207.381,
0.211,-159.652,
0.212,1.64331,
0.213,-318.133,
0.214,-282.252,
0.215001,-191.821,
0.216001,-16.5957,
0.217001,37.1054,
0.218001,-370.944,
0.219,706.296,
0.22,-109.979,
0.221,72.3117,
0.222,-2.51713,
0.223,-221.601,
0.224001,271.985,
0.225001,-397.048,
0.226001,-37.8668,
0.227001,25.0452,
0.228001,-95.9968,
0.229,211.31,
0.23,140.685,
0.231,73.2118,
0.232,236.638,
0.233,106.274,
0.234001,-105.497,
0.235001,5.57645,
0.236001,-239.851,
0.237001,69.7224,
0.238,-229.961,
0.239,58.4336,
0.24,133.884,
0.241,266.579,
0.242,-101.175,
0.243001,94.5023,
0.244001,-24.6615,
0.245001,-51.9565,
0.246001,33.1622,
0.247001,125.65,
0.248001,11.6394,
0.249001,-22.8436,
0.250001,-98.3092,
0.251001,-154.319,
0.252,-188.511,
0.253,-234.166,
0.254,-91.3372,
0.255,-188.742,
0.256,11.7491,
0.257001,167.037,
0.258001,-25.0524,
0.259001,225.162,
0.260001,228.563,
0.261001,361.788,
0.262,-18.9806,
0.263,-147.472,
0.264,-53.5164,
0.265,73.5365,
0.266,-84.9006,
0.267001,429.62,
0.268001,-2.93946,
0.269001,275.155,
0.270001,21.2267,
0.271001,-2.21817,
0.272,-224.079,
0.273,-112.795,
0.274,-15.5875,
0.275,-143.482,
0.276001,-207.863,
0.277001,-66.4331,
0.278001,20.9237,
0.279001,258.498,
0.280001,94.7646,
0.281,-408.353,
0.282,11.9525,
0.283,-369.465,
0.284,316.331,
0.285,-165.56,
0.286001,242.067,
0.287001,252.62,
0.288001,-35.4962,
0.289001,-367.855,
0.290001,-48.7278,
0.291,-87.5667,
0.292,407.202,
0.293,-714.547,
0.294,-251.877,
0.295001,-55.4376,
0.296001,245.501,
0.297001,304.199,
0.298001,-34.7335,
0.299001,83.511,
0.3,144.528,
Time(s),Acceleration(m_s2),2_AT3_Field/A/C3/MeshedPart-PART-1-1 at Node 120436
0,-9.17709,
0.00100087,-9.70114,
0.00200092,-10.5831,
0.00300098,-9.70114,
0.0040004,-9.89003,
0.00500011,2.64578,
0.00600004,30.8657,
0.00700095,35.2769,
0.00800051,-78.4916,
0.00900044,340.492,
0.0100009,397.458,
0.0110003,162.321,
0.0120003,660.497,
0.0130004,201.277,
0.014001,239.815,
0.0150006,-52.5003,
0.016001,-279.097,
0.017001,-277.737,
0.0180008,-329.108,
0.0190005,-491.989,
0.0200003,-413.151,
0.0210001,-160.637,
0.0220002,-291.96,
0.0230004,201.979,
0.0240006,162.305,
0.0250008,353.817,
0.026001,415.471,
0.0270001,319.004,
0.0280003,288.45,
0.0290005,113.361,
0.0300007,-7.05777,
0.0310009,95.7028,
0.0320011,-112.918,
0.0330002,-228.883,
0.0340004,-117.322,
0.0350008,-318.028,
0.0360008,-51.395,
0.0370007,-195.02,
0.0380006,-115.569,
0.0390005,-38.8217,
0.0400007,-14.1168,
0.0410009,247.068,
0.042,-114.673,
0.0430002,158.779,
0.0440005,51.6135,
0.0450005,-91.2477,
0.0460002,261.968,
0.0470001,-165.548,
0.0480006,-26.1396,
0.049001,133.907,
0.0500004,-27.062,
0.0510008,446.32,
0.0520006,165.523,
0.0530006,201.809,
0.0540007,258.728,
0.0550009,447.997,
0.0560008,115.163,
0.0570008,-22.1212,
0.0580006,317.502,
0.0590003,-191.229,
0.0600002,-273.617,
0.0610008,146.251,
0.0620008,-319.112,
0.0630002,646.015,
0.0640006,-521.57,
0.065,80.6639,
0.0660009,-126.669,
0.0670003,1361.79,
0.0680008,302.372,
0.069001,-190.746,
0.0700001,524.317,
0.0710008,1002.56,
0.0720009,648.994,
0.0730003,-288.137,
0.0740008,-9.93143,
0.0750004,490.828,
0.0760006,293.73,
0.0770001,-756.348,
0.0780002,566.48,
0.0790001,-272.557,
0.0800003,713.127,
0.0810003,497.469,
0.0820008,1.71957,
0.0830008,798.217,
0.0840008,-102.577,
0.0850002,483.716,
0.086001,420.486,
0.0870006,-307.081,
0.088,249.3,
0.0890004,-109.51,
0.090001,-35.1941,
0.0910003,668.266,
0.0920007,-121.619,
0.0930001,6.3859,
0.0940007,618.931,
0.0950005,-610.672,
0.0960003,29.6542,
0.0970001,-424.455,
0.0980009,-27.3955,
0.0990007,767.519,
0.1,-703.094,
0.101,905.383,
0.102,-565.304,
0.103001,419.725,
0.104001,-76.9948,
0.105,513.772,
0.106,-262.22,
0.107,-352.988,
0.108001,-199.953,
0.109001,353.803,
0.11,-783.441,
0.111,596.6,
0.112,-535.428,
0.113,328.927,
0.114,-229.544,
0.115001,380.53,
0.116001,-428.163,
0.117001,-6.86822,
0.118001,265.42,
0.119,133.84,
0.12,-780.12,
0.121,974.02,
0.122,-269.937,
0.123,241.657,
0.124001,-643.91,
0.125001,248.247,
0.126001,-85.5031,
0.127001,97.3108,
0.128001,-309.649,
0.129,257.932,
0.13,-301.302,
0.131,482.847,
0.132,-94.4152,
0.133,-182.88,
0.134001,151.765,
0.135001,262.097,
0.136001,146.893,
0.137001,-264.73,
0.138001,3.12106,
0.139,86.1962,
0.14,-244.236,
0.141,133.03,
0.142,-76.0207,
0.143001,327.742,
0.144001,58.0675,
0.145001,121.537,
0.146001,-401.995,
0.147,272.848,
0.148001,-99.48,
0.149001,59.5649,
0.150001,-39.4209,
0.151,221.556,
0.152,56.0778,
0.153001,32.4785,
0.154,115.989,
0.155,-98.5,
0.156,-131.852,
0.157001,51.2936,
0.158001,72.983,
0.159001,-249.114,
0.160001,122.497,
0.161001,0.719044,
0.162,233.499,
0.163,-328.659,
0.164,55.6045,
0.165,-152.312,
0.166,-84.3744,
0.167001,382.354,
0.168001,1.3187,
0.169001,190.028,
0.170001,-199.37,
0.171001,196.502,
0.172,-115.314,
0.173,-246.491,
0.174,250.996,
0.175,-307.654,
0.176001,115.278,
0.177001,1.43779,
0.178001,38.8147,
0.179001,170.483,
0.180001,107.814,
0.181,-104.583,
0.182,165.797,
0.183,-243.575,
0.184,-57.2412,
0.185,19.1756,
0.186001,-44.6196,
0.187001,-280.209,
0.188001,265.791,
0.189001,-101.983,
0.190001,-172.826,
0.191,-293.682,
0.192,180.425,
0.193,-311.23,
0.194,-101.381,
0.195,-231.612,
0.196001,222.975,
0.197001,-86.2321,
0.198001,-98.8076,
0.199001,-117.256,
0.2,-308.437,
0.201,-55.1555,
0.202,-147.687,
0.203,136.553,
0.204,-75.4366,
0.205001,290.826,
0.206001,132.503,
0.207001,-326.732,
0.208001,188.652,
0.209001,-109.821,
0.21,-272.75,
0.211,91.8285,
0.212,159.02,
0.213,-346.669,
0.214,304.633,
0.215001,-152.856,
0.216001,93.6815,
0.217001,-212.349,
0.218001,337.524,
0.219,-472.988,
0.22,44.0155,
0.221,-146.886,
0.222,-95.1564,
0.223,-8.8937,
0.224001,-142.527,
0.225001,174.914,
0.226001,-84.0432,
0.227001,-49.7234,
0.228001,123.067,
0.229,-119.072,
0.23,167.787,
0.231,-337.675,
0.232,238.482,
0.233,80.0807,
0.234001,54.2252,
0.235001,-97.9373,
0.236001,72.2278,
0.237001,-107.933,
0.238,-38.6365,
0.239,-358.512,
0.24,-86.8387,
0.241,-11.5057,
0.242,58.9016,
0.243001,421.995,
0.244001,-183.103,
0.245001,330.811,
0.246001,228.54,
0.247001,164.517,
0.248001,-53.2686,
0.249001,-110.488,
0.250001,135.463,
0.251001,-44.5229,
0.252,119.026,
0.253,-109.346,
0.254,203.644,
0.255,133.72,
0.256,41.9012,
0.257001,-49.2059,
0.258001,-181.84,
0.259001,177.264,
0.260001,-319.698,
0.261001,-12.3493,
0.262,-65.7876,
0.263,380.405,
0.264,-586.132,
0.265,660.254,
0.266,-620.104,
0.267001,204.82,
0.268001,-355.315,
0.269001,115.488,
0.270001,-370.524,
0.271001,36.4312,
0.272,-109.356,
0.273,184.648,
0.274,-30.021,
0.275,199.739,
0.276001,-14.4383,
0.277001,-3.59371,
0.278001,-32.3148,
0.279001,-116.855,
0.280001,36.9798,
0.281,199.382,
0.282,437.327,
0.283,81.968,
0.284,150.362,
0.285,-244.467,
0.286001,143.599,
0.287001,-279.168,
0.288001,261.529,
0.289001,-561.794,
0.290001,75.7979,
0.291,-277.609,
0.292,69.2514,
0.293,-139.562,
0.294,-143.494,
0.295001,-157.299,
0.296001,-70.0055,
0.297001,148.368,
0.298001,51.8971,
0.299001,-399.283,
0.3,158.56,
Time(s),Acceleration(m_s2),3_AT3_Field/A/C3/MeshedPart-PART-1-1 at Node 120379
0,-9.17709,
0.00100087,-10.5831,
0.00200092,-8.81922,
0.00300098,-9.70114,
0.0040004,-9.89003,
0.00500011,33.5132,
0.00600004,-147.274,
0.00700095,274.278,
0.00800051,22.0482,
0.00900044,340.492,
0.0100009,375.876,
0.0110003,291.628,
0.0120003,474.429,
0.0130004,-3.20942,
0.014001,-20.1756,
0.0150006,297.355,
0.016001,39.0184,
0.017001,-267.178,
0.0180008,-251.077,
0.0190005,-419.476,
0.0200003,-155.161,
0.0210001,-393.79,
0.0220002,-45.8668,
0.0230004,-263.719,
0.0240006,226.698,
0.0250008,235.584,
0.026001,43.2231,
0.0270001,407.69,
0.0280003,223.174,
0.0290005,569.01,
0.0300007,149.537,
0.0310009,-258.442,
0.0320011,142.471,
0.0330002,-334.283,
0.0340004,-145.109,
0.0350008,-281.858,
0.0360008,-291.85,
0.0370007,3.52978,
0.0380006,-214.377,
0.0390005,266.458,
0.0400007,-255.867,
0.0410009,209.125,
0.042,-74.9784,
0.0430002,285.802,
0.0440005,-46.7609,
0.0450005,191.207,
0.0460002,180.819,
0.0470001,509.484,
0.0480006,82.5462,
0.049001,181.142,
0.0500004,357.31,
0.0510008,-67.8883,
0.0520006,58.6896,
0.0530006,61.5999,
0.0540007,313.051,
0.0550009,336.112,
0.0560008,103.647,
0.0570008,399.103,
0.0580006,316.58,
0.0590003,264.034,
0.0600002,-514.583,
0.0610008,-360.219,
0.0620008,-217.919,
0.0630002,-290.518,
0.0640006,748.873,
0.065,116.043,
0.0660009,377.159,
0.0670003,701.774,
0.0680008,915.186,
0.069001,583.177,
0.0700001,-104.05,
0.0710008,-169.646,
0.0720009,722.699,
0.0730003,5.27372,
0.0740008,495.36,
0.0750004,500.654,
0.0760006,1228.24,
0.0770001,41.3515,
0.0780002,-31.7402,
0.0790001,-366.743,
0.0800003,1001.89,
0.0810003,-53.9924,
0.0820008,70.5662,
0.0830008,300.911,
0.0840008,-42.338,
0.0850002,394.812,
0.086001,1120.11,
0.0870006,376.672,
0.088,310.443,
0.0890004,-311.418,
0.090001,761.643,
0.0910003,-595.14,
0.0920007,-321.004,
0.0930001,297.249,
0.0940007,-413.988,
0.0950005,544.028,
0.0960003,260.823,
0.0970001,57.9436,
0.0980009,47.6391,
0.0990007,302.791,
0.1,64.5563,
0.101,-502.344,
0.102,351.847,
0.103001,-192.424,
0.104001,358.341,
0.105,259.609,
0.106,85.0674,
0.107,427.626,
0.108001,-160.784,
0.109001,539.105,
0.11,-381.447,
0.111,-168.266,
0.112,245.43,
0.113,-300.309,
0.114,-63.9634,
0.115001,-51.1231,
0.116001,251.861,
0.117001,88.5639,
0.118001,-203.372,
0.119,-341.285,
0.12,-292.839,
0.121,58.4256,
0.122,44.9493,
0.123,-263.341,
0.124001,24.0292,
0.125001,-156.851,
0.126001,60.5923,
0.127001,100.741,
0.128001,-340.914,
0.129,220.939,
0.13,-350.376,
0.131,404.007,
0.132,-258.469,
0.133,-406.621,
0.134001,82.3335,
0.135001,87.5057,
0.136001,304.048,
0.137001,280.874,
0.138001,320.869,
0.139,-9.00378,
0.14,-174.789,
0.141,10.9209,
0.142,-301.443,
0.143001,390.146,
0.144001,-227.591,
0.145001,212.479,
0.146001,-169.791,
0.147,33.9566,
0.148001,46.0245,
0.149001,-214.936,
0.150001,153.31,
0.151,-532.86,
0.152,97.2375,
0.153001,-56.5078,
0.154,-135.82,
0.155,292.504,
0.156,43.1517,
0.157001,345.273,
0.158001,97.3107,
0.159001,-34.6457,
0.160001,269.685,
0.161001,-537.605,
0.162,247.223,
0.163,137.481,
0.164,-162.26,
0.165,170.886,
0.166,-102.352,
0.167001,-51.8995,
0.168001,-47.2336,
0.169001,-494.253,
0.170001,526.779,
0.171001,98.0714,
0.172,188.314,
0.173,-60.9034,
0.174,200.293,
0.175,273.617,
0.176001,109.766,
0.177001,93.0967,
0.178001,-325.971,
0.179001,-146.163,
0.180001,86.1314,
0.181,-180.448,
0.182,-120.394,
0.183,308.033,
0.184,45.5765,
0.185,78.6198,
0.186001,-59.4126,
0.187001,-293.918,
0.188001,-179.559,
0.189001,185.206,
0.190001,74.5664,
0.191,16.476,
0.192,306.386,
0.193,-380.739,
0.194,209.84,
0.195,-123.262,
0.196001,-140.111,
0.197001,171.385,
0.198001,-177.048,
0.199001,-32.4709,
0.2,-36.3292,
0.201,384.345,
