Time(s),Energy(J),ALLKE_Global/ALLKE
0,49697.8,
0.00500028,49679,
0.0100004,47880,
0.0150003,46183.4,
0.0200009,43841.7,
0.0250008,41916.6,
0.0300009,40473.6,
0.0350001,39348,
0.0400002,38425.3,
0.0450002,37503.8,
0.0500001,35685.8,
0.0550007,30878.6,
0.0600003,25759.5,
0.0650009,17494.2,
0.0700008,12180.4,
0.0750009,8109.84,
0.0800007,5673.91,
0.0850003,3927.16,
0.0900003,2610.66,
0.0950007,2349.08,
0.1,2054.13,
0.105,1794.81,
0.110001,1610,
0.115,1389.44,
0.120001,1755.71,
0.125,2355.94,
0.130001,2799,
0.135001,2938.34,
0.140001,2781.77,
0.145001,2409.25,
0.150001,1941.81,
0.155001,1447.25,
0.160001,1157.91,
0.165001,967.442,
0.170001,931.161,
0.175001,1031.35,
0.180001,1140.79,
0.185,1336.53,
0.19,1525.43,
0.195001,1476.54,
0.200001,1270.32,
0.205001,942.07,
0.210001,661.599,
0.215001,540.212,
0.220001,528.819,
0.225001,541.11,
0.230001,604.561,
0.235001,687.02,
0.240001,825.942,
0.245001,907.799,
0.250001,871.589,
0.255,757.715,
0.260001,590.882,
0.265,357.732,
0.270001,374.293,
0.275,456.99,
0.280001,388.828,
0.285,372.391,
0.290001,599.276,
0.295,702.742,
0.3,787.411,
