Time(s),Energy(J),ALLPD_Floor_beams/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_BEAMS-1/
0,0,
0.00500028,0,
0.0100004,0.190336,
0.0150003,0.211712,
0.0200009,2.74842,
0.0250008,7.31546,
0.0300009,16.5233,
0.0350001,29.5076,
0.0400002,33.2923,
0.0450002,37.1261,
0.0500001,39.3871,
0.0550007,40.0097,
0.0600003,46.7599,
0.0650009,1851.79,
0.0700008,2921.33,
0.0750009,3258.97,
0.0800007,3531.6,
0.0850003,4022.34,
0.0900003,4288.68,
0.0950007,4534.04,
0.1,4760.54,
0.105,4970.25,
0.110001,5234.49,
0.115,5477.76,
0.120001,5536.48,
0.125,5544.87,
0.130001,5544.87,
0.135001,5549.06,
0.140001,5570.04,
0.145001,5611.98,
0.150001,5666.5,
0.155001,5725.23,
0.160001,5817.5,
0.165001,5863.64,
0.170001,5884.61,
0.175001,5897.19,
0.180001,5901.39,
0.185,5901.39,
0.19,5905.58,
0.195001,5905.58,
0.200001,5918.16,
0.205001,5926.55,
0.210001,5934.94,
0.215001,5939.13,
0.220001,5943.33,
0.225001,5947.52,
0.230001,5955.91,
0.235001,5955.91,
0.240001,5955.91,
0.245001,5955.91,
0.250001,5955.91,
0.255,5960.11,
0.260001,5964.3,
0.265,5968.49,
0.270001,5976.88,
0.275,5981.08,
0.280001,5985.27,
0.285,5989.47,
0.290001,5989.47,
0.295,5989.47,
0.3,5993.66,
