Time(s),Energy(J),ALLPD_Shear_clips/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_SHEAR_CLIPS-1/
0,0,
0.00500058,204.603,
0.0100006,928.514,
0.0150008,1693.45,
0.0200002,2258.63,
0.0250008,2768.24,
0.0300004,3221.23,
0.0350001,3590.32,
0.0400006,4250.93,
0.0450002,5414.85,
0.0500008,6538.92,
0.0550004,7549.75,
0.0600001,8568.96,
0.0650006,9663.68,
0.0700003,10829.7,
0.0750008,12046,
0.0800005,13455.3,
0.0850001,14654.9,
0.0900007,14914.9,
0.0950003,14990.4,
0.100001,15040.8,
0.105,15082.7,
0.11,15116.3,
0.115001,15166.6,
0.12,15200.2,
0.125001,15225.3,
0.130001,15250.5,
0.135,15284,
0.14,15309.2,
0.145,15317.6,
0.150001,15334.4,
0.155001,15342.8,
0.160001,15342.8,
0.165,15359.5,
0.17,15367.9,
0.175,15384.7,
0.180001,15401.5,
0.185001,15409.9,
0.19,15418.3,
0.195,15418.3,
0.2,15426.7,
0.205001,15426.7,
0.210001,15435,
0.215,15435,
0.22,15443.4,
0.225,15443.4,
0.230001,15443.4,
0.235001,15451.8,
0.24,15460.2,
0.245,15460.2,
0.25,15460.2,
0.255001,15468.6,
0.26,15468.6,
0.265001,15468.6,
0.27,15468.6,
0.275,15477,
0.280001,15477,
0.285,15477,
0.290001,15485.4,
0.295,15485.4,
0.3,15485.4,
