Time(s),Energy(J),ALLPD_Stiffeners/ALLPD/INP2SIM_ELSET_ASSEMBLY_PART-1-1_FLOOR_BEAMS-1/
0,0,
0.00500058,0,
0.0100006,0.053472,
0.0150008,0.162944,
0.0200002,5.57056,
0.0250008,7.17619,
0.0300004,7.67181,
0.0350001,8.86374,
0.0400006,17.449,
0.0450002,23.9206,
0.0500008,28.0166,
0.0550004,28.4426,
0.0600001,31.7194,
0.0650006,1085.28,
0.0700003,1991.25,
0.0750008,2260.73,
0.0800005,2321.55,
0.0850001,2336.23,
0.0900007,2462.06,
0.0950003,2621.44,
0.100001,2646.61,
0.105,2696.94,
0.11,2751.46,
0.115001,2805.99,
0.12,2906.65,
0.125001,2965.37,
0.130001,2967.47,
0.135,2980.05,
0.14,2980.05,
0.145,2984.25,
0.150001,2998.93,
0.155001,3013.61,
0.160001,3017.8,
0.165,3026.19,
0.17,3028.29,
0.175,3032.48,
0.180001,3040.87,
0.185001,3047.16,
0.19,3049.26,
0.195,3049.26,
0.2,3051.36,
0.205001,3053.45,
0.210001,3055.55,
0.215,3061.84,
0.22,3061.84,
0.225,3061.84,
0.230001,3066.04,
0.235001,3068.13,
0.24,3068.13,
0.245,3068.13,
0.25,3068.13,
0.255001,3068.13,
0.26,3068.13,
0.265001,3068.13,
0.27,3068.13,
0.275,3070.23,
0.280001,3070.23,
0.285,3072.33,
0.290001,3072.33,
0.295,3072.33,
0.3,3072.33,
