Time(s),Acceleration(m_s2),1_AT3_Floor/A/C3/MeshedPart-PART-1-1 at Node 118183
0,-9.18376,
0.00100005,-9.8651,
0.00200025,-8.96676,
0.00300078,-9.86358,
0.00400105,-9.18056,
0.00500028,45.5658,
0.00600095,-45.5659,
0.0070008,297.054,
0.00800043,86.75,
0.0090004,4.38133,
0.0100004,434.625,
0.0110003,247.108,
0.0120011,159.919,
0.0130005,415.349,
0.0140007,-242.288,
0.0150003,155.977,
0.0160008,-345.688,
0.0170005,-134.147,
0.0180004,-11.0231,
0.0190001,30.3113,
0.0200009,-239.81,
0.0210007,-337.182,
0.0220006,27.5589,
0.0230003,155.099,
0.0240005,-40.3084,
0.0250008,95.5137,
0.026001,169.121,
0.0270002,345.251,
0.0280004,281.722,
0.0290007,-10.0771,
0.0300009,-125.308,
0.031,253.243,
0.0320003,-123.555,
0.0330005,-396.513,
0.034001,-393.45,
0.0350001,-28.9173,
0.0360003,-41.1854,
0.0370006,-64.8444,
0.0380008,-112.164,
0.0390011,156.852,
0.0400002,62.2154,
0.0410005,223.451,
0.0420007,-158.607,
0.0430009,230.462,
0.0440011,57.8346,
0.0450002,271.648,
0.0460005,-35.9275,
0.0470007,-52.1389,
0.048001,278.662,
0.049001,-81.2741,
0.0500001,9.6426,
0.0510002,138.676,
0.0520003,-377.472,
0.0530004,537.52,
0.0540006,-158.962,
0.0550007,434.637,
0.0560008,186.09,
0.057001,-9.18957,
0.058,160.359,
0.0590002,486.593,
0.0600003,50.0831,
0.0610004,270.243,
0.0620005,-271.991,
0.0630005,383.097,
0.0640005,-123.215,
0.0650009,537.191,
0.0660003,24.1152,
0.0670007,310.844,
0.068001,1029.96,
0.0690004,508.474,
0.0700008,452.531,
0.0710002,4.74469,
0.0720006,343.601,
0.073,308.331,
0.0740004,1114.77,
0.0750009,-70.4772,
0.0760003,1107.42,
0.0770007,134.887,
0.0780001,228.69,
0.0790004,479.187,
0.0800007,-281.921,
0.081,-48.6811,
0.0820004,170.089,
0.0830007,-275.11,
0.084001,351.61,
0.0850003,-525.874,
0.0860006,226.606,
0.0870009,-54.4172,
0.0880006,303.554,
0.089,-311.093,
0.0900003,714.255,
0.0910006,-98.5896,
0.092001,-437.047,
0.093,30.0933,
0.0940003,375.307,
0.0950007,-686.489,
0.096001,132.42,
0.0970003,54.1174,
0.0980006,258.456,
0.0990009,15.7539,
0.1,327.541,
0.101001,251.742,
0.102,-62.222,
0.103001,305.121,
0.104001,233.122,
0.105,7.4132,
0.106001,-143.292,
0.107001,203.116,
0.108,-101.34,
0.109001,74.8374,
0.110001,126.108,
0.111,-213.789,
0.112,36.2926,
0.113001,-1.01479,
0.114,-136.964,
0.115,-167.072,
0.116001,344.156,
0.117001,107.025,
0.118,390.952,
0.119001,-337.311,
0.120001,55.0619,
0.121,114.667,
0.122001,-589.414,
0.123001,-339.264,
0.124,142.654,
0.125,-203.326,
0.126001,47.0951,
0.127,463.052,
0.128001,264.822,
0.129,-227.007,
0.130001,177.561,
0.131001,262.154,
0.132,189.564,
0.133001,-338.545,
0.134,15.6908,
0.135001,446.536,
0.136001,-143.649,
0.137,241.261,
0.138001,-383.716,
0.139,253.732,
0.140001,54.6922,
0.141001,150.158,
0.142,-324.97,
0.143,18.9546,
0.144001,166.111,
0.145001,7.58838,
0.146001,-44.7821,
0.147001,-273.071,
0.148001,-36.5773,
0.149001,35.2784,
0.150001,-275.112,
0.151001,-123.015,
0.152,-27.3349,
0.153,-160.155,
0.154,103.079,
0.155001,-33.6881,
0.156001,-65.6404,
0.157,351.772,
0.158,71.4067,
0.159,-260.218,
0.160001,-153.496,
0.161001,286.635,
0.162001,-87.8201,
0.163,-156.594,
0.164,386.982,
0.165001,233.266,
0.166001,109.107,
0.167001,85.3881,
0.168,120.69,
0.169,-3.34609,
0.170001,29.6554,
0.171001,99.4757,
0.172001,-3.46224,
0.173,-339.809,
0.174,-176.019,
0.175001,66.8472,
0.176001,-179.503,
0.177001,203.289,
0.178,-280.711,
0.179,310.032,
0.180001,-262.008,
0.181001,237.881,
0.182001,162.703,
0.183,-256.536,
0.184,310.33,
0.185,-388.808,
0.186001,27.4633,
0.187001,-158.67,
0.188,-41.1939,
0.189,238.14,
0.19,-231.872,
0.191001,417.845,
0.192,-299.579,
0.193001,99.6381,
0.194,63.5836,
0.195001,-19.9294,
0.196,341.362,
0.197,57.5505,
0.198001,-140.948,
0.199,204.898,
0.200001,-148.276,
0.201,-194.761,
0.202,-438.043,
0.203001,-212.029,
0.204,50.7059,
0.205001,-42.539,
0.206,-210.395,
0.207001,328.167,
0.208001,91.228,
0.209,167.22,
0.210001,4.05685,
0.211,173.81,
0.212001,-116.845,
0.213001,-74.4736,
0.214,-89.7468,
0.215001,-76.1171,
0.216,110.866,
0.217001,20.6922,
0.218001,98.5602,
0.219,-60.6678,
0.220001,7.2349,
0.221,-101.115,
0.222001,-257.771,
0.223,-61.6622,
0.224001,31.7441,
0.225001,-109.105,
0.226,-228.251,
0.227,-33.8898,
0.228,42.8122,
0.229001,-108.882,
0.230001,-220.03,
0.231,-251.125,
0.232,-232.602,
0.233,164.336,
0.234001,161.838,
0.235001,-188.547,
0.236,382.282,
0.237,76.064,
0.238,-62.8264,
0.239001,130.937,
0.240001,-91.9393,
0.241001,-22.1679,
0.242,-75.7564,
0.243,53.109,
0.244001,165.205,
0.245001,-122.6,
0.246001,195.873,
0.247,156.597,
0.248,-141.844,
0.249001,-240.208,
0.250001,-37.2929,
0.251,-34.6281,
0.252,-294.815,
0.253001,73.9027,
0.254001,-232.709,
0.255,79.3425,
0.256001,-5.51819,
0.257001,21.405,
0.258,141.399,
0.259,177.331,
0.260001,269.727,
0.261,-84.1059,
0.262,-113.233,
