Nodal History,Z-acceleration
Time,A119507,B121301,C121285,D8907,E121770,F121637,G121722,H121457,I121627,J122023,K122002,L120985,M120534,
    0.0000000000e+00,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,
    9.9969643634e-04,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,
    1.9993928727e-03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,
    2.9998174869e-03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,
    3.9995145053e-03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,
    4.9999388866e-03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,
    5.9996354394e-03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,
    6.9993319921e-03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,
    7.9997563735e-03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,
    8.9994529262e-03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,
    9.9998777732e-03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,   -9.8100000000e+03,
