Nodal History,Z-acceleration
Time,A8874,
    0.0000000000e+00,   -8.1362117188e+04,
    9.9969585426e-04,   -8.1500812500e+04,
    1.9993919414e-03,   -8.7014429688e+04,
    2.9998163227e-03,   -1.0119754688e+05,
    3.9995126426e-03,   -1.2769270312e+05,
    4.9999370240e-03,   -1.6966548438e+05,
    5.9996335767e-03,   -2.2835734375e+05,
    6.9993296638e-03,   -3.0089025000e+05,
    7.9996250570e-03,   -3.7551096875e+05,
    8.9999902993e-03,   -4.2846234375e+05,
    9.9995676428e-03,   -4.3566453125e+05,
    1.0999901220e-02,   -3.9245362500e+05,
    1.1999499984e-02,   -3.1455618750e+05,
    1.2999906205e-02,   -2.2046818750e+05,
    1.3999529183e-02,   -1.2297588281e+05,
    1.4999585226e-02,   -3.3545355469e+04,
    1.5999702737e-02,    3.8324753906e+04,
    1.6999714077e-02,    8.5173492188e+04,
    1.7999883741e-02,    9.7348843750e+04,
    1.8999727443e-02,    7.1828312500e+04,
    1.9999882206e-02,    2.2889437500e+04,
    2.0999472588e-02,   -2.7528275391e+04,
    2.1999347955e-02,   -6.5072050781e+04,
    2.2999463603e-02,   -8.5726960938e+04,
    2.3999635130e-02,   -9.0850132812e+04,
    2.4999562651e-02,   -8.1972984375e+04,
    2.5999616832e-02,   -5.8073992188e+04,
    2.6999689639e-02,   -1.6355063477e+04,
    2.7999831364e-02,    4.4331527344e+04,
    2.8999840841e-02,    1.1995770312e+05,
    2.9999662191e-02,    2.0151320312e+05,
    3.0999375507e-02,    2.7900931250e+05,
    3.1999573112e-02,    3.4225387500e+05,
    3.2999441028e-02,    3.7851734375e+05,
    3.3999729902e-02,    3.7584765625e+05,
    3.4999608994e-02,    3.2927609375e+05,
    3.5999469459e-02,    2.4322448438e+05,
    3.6999702454e-02,    1.3081535938e+05,
    3.7999629974e-02,    9.7613007812e+03,
    3.8999870420e-02,   -1.0308319531e+05,
    3.9999797940e-02,   -1.9395460938e+05,
    4.0999911726e-02,   -2.5195978125e+05,
    4.1999444366e-02,   -2.6924543750e+05,
    4.2999748141e-02,   -2.4274095312e+05,
    4.3999470770e-02,   -1.7542603125e+05,
    4.4999759644e-02,   -7.4150710938e+04,
    4.5999877155e-02,    5.2911972656e+04,
    4.6999514103e-02,    1.9698696875e+05,
    4.7999680042e-02,    3.5043140625e+05,
    4.8999514431e-02,    5.0472703125e+05,
    4.9999762326e-02,    6.4150393750e+05,
    5.0999779254e-02,    7.3053506250e+05,
    5.1999844611e-02,    7.4588937500e+05,
    5.2999369800e-02,    6.8552962500e+05,
    5.3999528289e-02,    5.7159562500e+05,
    5.4999675602e-02,    4.3716284375e+05,
    5.5999830365e-02,    3.1723418750e+05,
    5.6999918073e-02,    2.3842925000e+05,
    5.7999350131e-02,    2.0657603125e+05,
    5.8999367058e-02,    2.0968782812e+05,
    5.9999424964e-02,    2.3421815625e+05,
    6.0999501497e-02,    2.7268990625e+05,
    6.1999570578e-02,    3.1734106250e+05,
    6.2999621034e-02,    3.5812696875e+05,
    6.3999645412e-02,    3.9059518750e+05,
    6.4999654889e-02,    4.1525809375e+05,
    6.5999649465e-02,    4.2935687500e+05,
    6.6999658942e-02,    4.2796190625e+05,
    6.7999698222e-02,    4.0917481250e+05,
    6.8999759853e-02,    3.7438134375e+05,
    6.9999851286e-02,    3.2754018750e+05,
    7.0999950171e-02,    2.7626950000e+05,
    7.1999438107e-02,    2.3221673438e+05,
    7.2999581695e-02,    2.0502204688e+05,
    7.3999740183e-02,    1.9254068750e+05,
    7.4999898672e-02,    1.8132268750e+05,
    7.5999438763e-02,    1.6225660938e+05,
    7.6999582350e-02,    1.4166117188e+05,
    7.7999688685e-02,    1.2548746875e+05,
    7.8999847174e-02,    1.0149738281e+05,
    7.9999394715e-02,    5.8586214844e+04,
    8.0999545753e-02,    1.2516639648e+04,
    8.1999681890e-02,   -8.3604990234e+03,
    8.2999795675e-02,    5.8573198242e+03,
    8.3999931812e-02,    3.8673175781e+04,
    8.4999471903e-02,    6.1788937500e+04,
    8.5999645293e-02,    5.0739843750e+04,
    8.6999803782e-02,   -8.0350947266e+03,
    8.7999984622e-02,   -1.0956893750e+05,
    8.8999532163e-02,   -2.2540784375e+05,
    8.9999727905e-02,   -3.1910587500e+05,
    9.0999931097e-02,   -3.7220503125e+05,
    9.1999530792e-02,   -3.9030831250e+05,
    9.2999748886e-02,   -3.8763696875e+05,
    9.3999952078e-02,   -3.7328056250e+05,
    9.4999529421e-02,   -3.4929425000e+05,
    9.5999732614e-02,   -3.1544981250e+05,
    9.6999973059e-02,   -2.7246459375e+05,
    9.7999602556e-02,   -2.2185517188e+05,
    9.8999850452e-02,   -1.6707189062e+05,
    9.9999472499e-02,   -1.1453946875e+05,
    1.0099970549e-01,   -7.3002062500e+04,
    1.0199993104e-01,   -5.0441660156e+04,
    1.0299953073e-01,   -4.7022000000e+04,
    1.0399975628e-01,   -5.4430582031e+04,
    1.0499998182e-01,   -6.8104554688e+04,
    1.0599958897e-01,   -9.4110773438e+04,
    1.0699982196e-01,   -1.3654345312e+05,
    1.0799942166e-01,   -1.8596950000e+05,
    1.0899961740e-01,   -2.2614934375e+05,
    1.0999980569e-01,   -2.4421945312e+05,
    1.1099997908e-01,   -2.3468279688e+05,
    1.1199951917e-01,   -2.0025028125e+05,
    1.1299967766e-01,   -1.4857929688e+05,
    1.1399982870e-01,   -8.7585296875e+04,
    1.1499996483e-01,   -2.3884464844e+04,
    1.1599947512e-01,    3.6068707031e+04,
    1.1699958891e-01,    8.6328398438e+04,
    1.1799968779e-01,    1.2370163281e+05,
    1.1899979413e-01,    1.4749065625e+05,
    1.1999989301e-01,    1.5941076562e+05,
    1.2100000679e-01,    1.6572154688e+05,
    1.2199948728e-01,    1.7373987500e+05,
    1.2299957126e-01,    1.8461471875e+05,
    1.2399964035e-01,    1.9335937500e+05,
    1.2499970943e-01,    1.9375948438e+05,
    1.2599977851e-01,    1.8012831250e+05,
    1.2699982524e-01,    1.4899206250e+05,
    1.2799987197e-01,    1.0461750000e+05,
    1.2899987400e-01,    6.0010867188e+04,
    1.2999989092e-01,    2.8566445312e+04,
    1.3099989295e-01,    1.6977662109e+04,
    1.3199989498e-01,    2.4924402344e+04,
    1.3299989700e-01,    4.6659214844e+04,
    1.3399992883e-01,    7.4160703125e+04,
    1.3499997556e-01,    1.0237449219e+05,
    1.3600005209e-01,    1.3054787500e+05,
    1.3699953258e-01,    1.5627170312e+05,
    1.3799963892e-01,    1.7132532812e+05,
    1.3899976015e-01,    1.6732289062e+05,
    1.3999991119e-01,    1.4275239062e+05,
    1.4100007713e-01,    1.0303376562e+05,
    1.4199961722e-01,    5.6818761719e+04,
    1.4299979806e-01,    1.1267077148e+04,
    1.4399996400e-01,   -3.1669458984e+04,
    1.4499951899e-01,   -7.3178789062e+04,
    1.4599968493e-01,   -1.1265971875e+05,
    1.4699986577e-01,   -1.4856451562e+05,
    1.4800003171e-01,   -1.8172337500e+05,
    1.4899958670e-01,   -2.1244614062e+05,
    1.4999976754e-01,   -2.3745445312e+05,
    1.5000039339e-01,   -2.5523617188e+05,
