Nodal History,Z-acceleration
Time,A118707,B8420,C8766,D120461,E119895,F119308,G121999,H122026,I122042,J121427,K120875,L120200,M120175,N120162,O120138,P119999,Q119903,R119210,S117957,T117315,U118615,V120404,W121002,X121123,Y121221,Z121254,AA8692,AB121315,AC8535,AD120930,AE120632,AF8452,AG120535,AH8436,AI8432,
    0.0000000000e+00,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,
    9.9969585426e-04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,
    1.9993919414e-03,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,
    2.9998163227e-03,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,
    3.9995126426e-03,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,
    4.9999370240e-03,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,
    5.9996335767e-03,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,
    6.9993296638e-03,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,   -9.8100000000e+04,
    7.9996250570e-03,    1.6262192500e+06,   -9.1257118750e+05,   -8.0476012500e+05,   -4.1712615625e+05,   -2.5602517188e+05,    1.3378260000e+06,   -2.7843425000e+06,    4.3609670000e+06,    2.6590280000e+06,    5.8665300000e+05,   -8.5935304688e+04,   -1.2651817188e+05,   -4.0319059375e+05,   -3.8250150000e+05,   -3.3958471875e+05,   -2.7403695000e+06,   -5.5980675781e+04,   -5.0493359375e+05,   -4.0743356250e+05,    3.3388159375e+05,   -4.6972537500e+05,   -6.3123562500e+05,   -9.7323581250e+05,   -1.2036422500e+06,   -8.1870031250e+05,   -5.5076781250e+05,   -9.6929703125e+04,   -1.8155596875e+05,    1.9020466250e+06,   -2.3262125000e+06,   -2.0692016250e+06,   -8.3330581250e+05,    8.4715075000e+05,    1.9599387500e+06,    1.1887577500e+06,
    8.9999902993e-03,   -5.7334493750e+05,    7.0773531250e+05,   -1.1462198750e+06,    1.8662128750e+06,    1.7686667500e+06,    2.1158242188e+05,   -1.4479798750e+06,   -1.2131287500e+06,    1.1056948750e+06,   -6.0889100000e+05,    1.4072242500e+06,   -1.3858705000e+06,    4.4927731250e+05,   -5.0932459375e+05,    1.8615413750e+06,    1.1895538750e+06,    2.4286252500e+06,    4.9207087500e+05,    6.5514587500e+05,    2.5837062500e+06,    1.2472621250e+06,    1.1879213750e+06,    1.7434612500e+05,   -5.0013015625e+05,    3.1788234375e+05,   -9.9143450000e+05,    2.1417848438e+05,    3.8172925000e+05,   -1.7489837500e+06,    1.1230405000e+06,   -1.1911453750e+06,    1.6508647500e+06,    1.4579187500e+06,    5.2442906250e+05,   -8.4215046875e+04,
