Nodal History,Z-acceleration
Time,
    0.0000000000e+00,    3.9466921875e+04,
    9.9969643634e-04,    3.7216804688e+04,
    1.9993928727e-03,    2.4198236328e+04,
    2.9998174869e-03,   -5.5661743164e+03,
    3.9995140396e-03,   -5.8363863281e+04,
    4.9999384210e-03,   -1.3909615625e+05,
    5.9996345080e-03,   -2.4843068750e+05,
    6.9993310608e-03,   -3.7862309375e+05,
    7.9998597503e-03,   -5.0840940625e+05,
    8.9999055490e-03,   -6.0202006250e+05,
    9.9998265505e-03,   -6.2291243750e+05,
    1.0999789461e-02,   -5.5781418750e+05,
    1.1999701150e-02,   -4.2379009375e+05,
    1.2999922968e-02,   -2.5119037500e+05,
    1.3999350369e-02,   -6.9430226562e+04,
    1.4999621548e-02,    9.4559835938e+04,
    1.5999780968e-02,    2.2073539062e+05,
    1.6999779269e-02,    3.0057706250e+05,
    1.7999954522e-02,    3.3113409375e+05,
    1.8999360502e-02,    3.1414193750e+05,
    1.9999749959e-02,    2.6689862500e+05,
    2.0999921486e-02,    2.1765895312e+05,
    2.1999437362e-02,    1.8403754688e+05,
    2.2999905050e-02,    1.6665589062e+05,
    2.3999851197e-02,    1.5947214062e+05,
    2.4999385700e-02,    1.5662525000e+05,
    2.5999417529e-02,    1.5497984375e+05,
    2.6999432594e-02,    1.5548790625e+05,
    2.7999483049e-02,    1.6107645312e+05,
    2.8999343514e-02,    1.7413898438e+05,
    2.9999900609e-02,    1.9569718750e+05,
    3.0999466777e-02,    2.2369287500e+05,
    3.1999871135e-02,    2.5263179688e+05,
    3.2999902964e-02,    2.7790587500e+05,
    3.3999942243e-02,    2.9907709375e+05,
    3.4999538213e-02,    3.1635181250e+05,
    3.5999972373e-02,    3.2453650000e+05,
    3.6999434233e-02,    3.1344240625e+05,
    3.7999570370e-02,    2.7622196875e+05,
    3.8999684155e-02,    2.1553706250e+05,
    3.9999481291e-02,    1.4068650000e+05,
    4.0999710560e-02,    6.1839171875e+04,
    4.1999764740e-02,   -1.1541967773e+04,
    4.2999900877e-02,   -7.1123265625e+04,
    4.3999601156e-02,   -1.1205789844e+05,
    4.4999707490e-02,   -1.3281532812e+05,
    4.5999389142e-02,   -1.3313417188e+05,
    4.6999353915e-02,   -1.1400517969e+05,
    4.7999467701e-02,   -7.7384335938e+04,
    4.8999659717e-02,   -2.5840912109e+04,
    4.9999624491e-02,    3.6372164062e+04,
    5.0999548286e-02,    1.0358110156e+05,
    5.1999919116e-02,    1.6967629688e+05,
    5.2999507636e-02,    2.2855692188e+05,
    5.3999748081e-02,    2.7610309375e+05,
    5.4999336600e-02,    3.1102775000e+05,
    5.5999610573e-02,    3.3148503125e+05,
    5.6999869645e-02,    3.3265653125e+05,
    5.7999480516e-02,    3.0933587500e+05,
    5.8999728411e-02,    2.5995057812e+05,
    5.9999331832e-02,    1.8996943750e+05,
    6.0999553651e-02,    1.1369894531e+05,
    6.1999779195e-02,    4.9743238281e+04,
    6.2999367714e-02,    1.1980588867e+04,
    6.3999600708e-02,    4.6690590820e+03,
    6.4999818802e-02,    2.3536664062e+04,
    6.5999396145e-02,    5.9522429688e+04,
    6.6999636590e-02,    1.0274279688e+05,
    6.7999862134e-02,    1.4471595312e+05,
    6.8999454379e-02,    1.7941068750e+05,
    6.9999702275e-02,    2.0428667188e+05,
    7.0999927819e-02,    2.1931753125e+05,
    7.1999497712e-02,    2.2430446875e+05,
